Command	Level
s	i{50}
ai.debug	
ai.debugTest	
ai.hatelist	
ai.info	
ai.kill	
ai.killall	
ai.log	
ai.retreat	
ai.runspeed	
ai.walkspeed	
city.listByCitizenCount	50
city.listByCreationTime	50
city.listById	
city.listByName	50
city.listByPlanet	50
city.listByRank	50
city.listByStructureCount	
city.listCitiesWithIllegalShuttleport	
city.setCityCreationTime	50
city.showCityDetails	50
city.showCityGcwRegionDefender	
city.showCityRetroactiveCreationTime	
collection.addServerFirst	50
collection.adjustSlotValue	
collection.displayCollections	50
collection.displayServerFirst	50
collection.grantAllSlotsForBook	50
collection.grantAllSlotsForCollection	50
collection.grantAllSlotsForPage	50
collection.removeServerFirst	50
collection.revokeAllSlotsForBook	
collection.revokeAllSlotsForCollection	
collection.revokeAllSlotsForPage	
collection.setServerFirstTime	
craft.customize	
craft.disableSchematicFilter	
craft.draft	
craft.enableSchematicFilter	
craft.experiment	
craft.fillslot	
craft.makeprototype	
craft.makeschematic	
craft.nextstage	
craft.stop	
guild.findGuildLeaderMismatch	
guild.findGuildLeaderPermissionMismatch	
guild.findGuildMemberNameMismatch	
guild.findLeaderlessGuild	50
guild.findOrphanedGuild	50
guild.listByAbbrev	50
guild.listById	
guild.listByLeaderId	
guild.listByLeaderName	50
guild.listByMemberActiveSize	
guild.listByMemberInactiveSize	
guild.listByMemberSize	
guild.listByName	50
guild.listBySponsoredActiveSize	
guild.listBySponsoredInactiveSize	
guild.listBySponsoredSize	
guild.listByTotalActiveSize	
guild.listByTotalInactiveSize	
guild.listByTotalSize	
guild.setGuildAbbrev	50
guild.setGuildLeader	50
guild.setGuildName	50
guild.showGuildDetails	
guild.showGuildGcwRegionDefender	
manufacture.addIngredient	
manufacture.addSchematic	
manufacture.getObjects	
manufacture.listIngredients	
manufacture.listObjects	
manufacture.listSchematic	
manufacture.removeIngredient	
manufacture.removeSchematic	
manufacture.start	
manufacture.stop	
money.balance	10
money.bankTransfer	50
money.cashTransfer	50
money.deposit	50
money.namedTransfer	30
money.setGalacticReserve	50
money.withdraw	50
npc.goodbye	
npc.hail	
npc.respond	
object.addJediSlot	
object.addLocationTarget	
object.addPassiveReveal	
object.adjustAge	
object.adjustSwgAccountFeatureId	
object.askConsent	
object.attribs	
object.authority	20
object.canMove	
object.cellCreate	30
object.cellCreateTranslateRotate	
object.clearPassiveReveal	
object.count	
object.create	30
object.createAt	30
object.createIn	30
object.createManyAt	40
object.createPathNodes	
object.createTranslateRotate	
object.createTriggerVolume	
object.debugFar	
object.deleteAuctionLocation	
object.deletePersistedContents	30
object.destroy	40
object.destroyAllMobsExcept	
object.destroyAllWorldMobs	
object.destroyPathNodes	
object.disableCharacter	40
object.enableCharacter	40
object.enqueueCommand	
object.find	5
object.findCreature	5
object.findRelative_w	5
object.findTemplate	
object.fixHouseItemLimit	10
object.fixLoadWith	
object.getAge	
object.getAttributes	
object.getBadge	
object.getBattlefieldMarkerRegionName	
object.getBehavior	
object.getBroadcastInfo	
object.getChatStatistics	
object.getDatapadId	
object.getExposedProxyList	
object.getHeight	
object.getHibernating	
object.getInventoryId	5
object.getInvulnerabilityTimer	
object.getJediSlotInfo	
object.getLoadWith	
object.getObservers	
object.getObserving	
object.getObservingDetailed	
object.getObservingPvpSync	
object.getObservingPvpSyncDetailed	
object.getOpenedContainers	
object.getOwner	
object.getPassiveReveal	
object.getPower	
object.getPowerRate	
object.getPrivateProxyList	
object.getServerTemplate	5
object.getStandingOn	
object.getStaticInfo	
object.getVolume	
object.gotoObject	5
object.hide	10
object.isIncapacitated	
object.isOnSolidFloor	
object.isProxy	
object.listContainer	
object.loadContents	
object.loadStructure	
object.loginCharacter	40
object.makeSpectral	50
object.markCityEntrance	50
object.move	10
object.moveItemInHouseToMe	10
object.moveSimClear	
object.moveSimStart	
object.moveToMe	10
object.moveToPlayer	10
object.moveToPlayerAndUnload	20
object.pathAutoCleanup	
object.pathAutoGenerate	
object.persist	40
object.playUiEffect	
object.regionList	
object.reinitializeVendor	10
object.relinkPathGraph	
object.reloadPathNodes	
object.reloadServerTemplate	
object.reloadSwgAccountFeatureId	
object.reloadSwgTcgAccountFeatureId	
object.removeLocationTarget	
object.removePassiveReveal	
object.removeTriggerVolume	
object.renamePlayer	30
object.resetStats	
object.restoreCharacter	10
object.restoreHouse	10
object.rollupStructure	
object.rotate	10
object.scaleMovement	5
object.scaleSize	30
object.setAdminTitle	10
object.setBattlefieldMarkerRegionName	
object.setCoverVisibility	10
object.setName	10
object.setOwner	50
object.setPathLinkDistance	
object.setPower	
object.setPowerRate	
object.snap	
object.spawn	40
object.spewCommandQueue	
object.stopWatching	
object.testVendorStatus	
object.triggerVolumes	
object.undeleteItem	30
object.unload	20
object.unloadBuildingContents	20
object.unmarkCityEntrance	
object.unstick	
object.watch	
object.watchAIPath	
object.watchPathMap	
objvar.get	5
objvar.list	5
objvar.listWithPacking	
objvar.remove	30
objvar.set	30
objvar.setlist	30
pvp.adjustCurrentGcwPoint	50
pvp.adjustCurrentGcwRating	50
pvp.adjustCurrentPvpKill	50
pvp.adjustLifetimeGcwPoint	50
pvp.adjustLifetimePvpKill	50
pvp.adjustMaxGcwImperialRating	50
pvp.adjustMaxGcwRebelRating	50
pvp.adjustNextGcwRatingCalcTime	50
pvp.getCombatSpamFilter	
pvp.getGcwInfo	
pvp.getMaster	
pvp.makeCovertImperialMercenary	40
pvp.makeCovertRebelMercenary	40
pvp.makeMercenaryNone	40
pvp.makeOvertImperialMercenary	40
pvp.makeOvertRebelMercenary	40
pvp.pvpAttackPerformed	
pvp.pvpCanAttack	
pvp.showGcwFormulasTable	
pvp.showGcwRankDecayExclusionTimeTable	
pvp.showGcwRankTable	
pvp.spaceClearOvert	40
pvp.spaceMakeOvert	40
pvp.testGcwPointToRatingConversion	
resource.activate	40
resource.addtocontainer	30
resource.deactivate	40
resource.deplete	40
resource.discardHopper	30
resource.fillcontainer	40
resource.getSurveyList	30
resource.harvest	30
resource.name	30
resource.pools	
resource.recycle	
resource.removefromcontainer	20
resource.survey	
resource.tree	
resource.viewcontainer	
script.attach	20
script.detach	20
script.enableLogging	30
script.list	5
script.pause	40
script.reload	20
script.scriptingEnabled	30
script.triggerAll	20
script.triggerOne	20
server.abortShutdown	40
server.adjustGcwImperialScore	50
server.adjustGcwRebelScore	50
server.clientSaveBuildoutArea	50
server.clock	
server.dataTableGetString	
server.decayGcwScore	50
server.destroyPersistedBuildoutAreaDuplicates	40
server.displayTerrain	50
server.dumpCreatures	
server.dumpMemToFile	50
server.editBuildoutArea	50
server.enableNewJedi	50
server.enablePlayerSanityChecker	50
server.error	
server.freeCtsInfo	50
server.freeCtsTest	50
server.generateTerrain	50
server.getCharacterInfo	50
server.getCommoditiesAuctionLocationPriorityQueue	50
server.getCommoditiesItemAttribute	50
server.getCommoditiesItemAttributeData	50
server.getCommoditiesItemAttributeDataValues	50
server.getCommoditiesItemTypeMap	50
server.getNameList	50
server.getNumberOfMoveObjectLists	50
server.getPlanetaryTimeFromAllGameServers	50
server.getPlanetId	
server.getRegionsAt	
server.getSceneId	
server.getSystemClockTimeFromAllGameServers	50
server.hasGcwFactionalPresence	50
server.hasGcwRegionDefenderBonus	50
server.isFreeCtsSourceCluster	50
server.kill	50
server.listCharacterCreateTimeAfterBrief	50
server.listCharacterCreateTimeAfterDetailed	50
server.listCharacterCreateTimeBeforeBrief	50
server.listCharacterCreateTimeBeforeDetailed	50
server.listCharacterCreateTimeBetweenBrief	50
server.listCharacterCreateTimeBetweenDetailed	50
server.listCharacterCreateTimeBrief	50
server.listCharacterCreateTimeDetailed	50
server.listCharacterLastLoginTimeAfterBrief	50
server.listCharacterLastLoginTimeAfterDetailed	50
server.listCharacterLastLoginTimeBeforeBrief	50
server.listCharacterLastLoginTimeBeforeDetailed	50
server.listCharacterLastLoginTimeBetweenBrief	50
server.listCharacterLastLoginTimeBetweenDetailed	50
server.listCharacterLastLoginTimeBrief	50
server.listCharacterLastLoginTimeDetailed	50
server.listConnectedCharacterData	50
server.listConnectedCharacters	50
server.listRegions	
server.listRetroactiveCtsHistory	50
server.listTravelPoints	50
server.memUsage	40
server.messageCount	
server.profiler	
server.purgeTerrain	50
server.releaseAuth	
server.reloadAdminTable	50
server.reloadCommandTable	50
server.reloadForms	50
server.reloadQuests	50
server.reloadTable	40
server.reloadTerrain	
server.requestSameServer	50
server.restartPlanet	50
server.restartServer	50
server.saveBuildoutArea	50
server.sendMailToCharacterCreateTime	50
server.sendMailToCharacterCreateTimeAfter	50
server.sendMailToCharacterCreateTimeBefore	50
server.sendMailToCharacterCreateTimeBetween	50
server.sendMailToCharacterLastLoginTime	50
server.sendMailToCharacterLastLoginTimeAfter	50
server.sendMailToCharacterLastLoginTimeBefore	50
server.sendMailToCharacterLastLoginTimeBetween	50
server.serverinfo	50
server.setAiCombatPulseQueueMaxWaitTimeMs	50
server.setAiCombatPulseQueueNumber	50
server.setCompletedTutorial	50
server.setDebugFlag	
server.setExtraDelayPerFrameMs	50
server.setFrameRateLimit	
server.setGodMode	5
server.setMessageToBacklogThreshold	50
server.setMessageToTimeLimit	50
server.setNumberOfMoveObjectLists	50
server.setPublic	50
server.setQuestDebugging	50
server.setUniverseProcess	
server.showGcwFactionalPresence	50
server.showGcwScore	50
server.showObjectSpheres	
server.showTriggerSpheres	
server.shutdown	50
server.snapAllObjectsToTerrain	
server.startSave	10
server.testStructurePlacement	
server.transferCharacter	50
server.validateWorld	
ship.getComponentDescriptor	50
ship.getSlotList	50
ship.idotList	50
ship.idotRemove	50
ship.idotSet	50
ship.install	50
ship.pseudoDamageShip	50
ship.pseudoInstall	50
ship.purge	50
ship.uninstall	50
skill.getCommandList	50
skill.getLevel	50
skill.getSchematics	50
skill.getSkillList	50
skill.getSkillMods	50
skill.grantCommand	50
skill.grantExperience	50
skill.grantSchematic	50
skill.grantSchematicGroup	50
skill.grantSkill	50
skill.grantSkillMod	50
skill.revokeSchematic	50
skill.revokeSchematicGroup	50
skill.revokeSkill	50
skill.revokeSkillMod	50
spaceai.clientdebug	
spaceai.clientdebugtext	
spaceai.fastaxis	
spaceai.maneuver	
spaceai.path	
spaceai.peace	
spaceai.reloaddata	
spaceai.serverdebug	
spaceai.war	
spawner.showcreatures	
spawner.showqueue	
veteran.claimReward	
veteran.getRewardInfo	
veteran.launchBrowser	
veteran.setOverrideAccountAge	
