INDEX	APPEARANCE	FEMALE_APPEARANCE	category	comments
i	s	s[none]	s	c
1	object/mobile/shared_jawa_male.iff		halloween	Jawa
2	object/mobile/shared_toydarian_m.iff		halloween	Toydarian
3	object/mobile/shared_hutt_female.iff		halloween	Hutt (Female)
4	object/mobile/shared_droideka.iff		halloween	Droideka
5	object/mobile/shared_salacious_crumb.iff		halloween	Salacious Crumb
6	object/mobile/shared_loveday_ewok_cupid.iff		loveday	Ewok (Loveday)
7	object/mobile/shared_jawa.iff		storyteller	Jawa (Storyteller)
8	object/mobile/shared_gungan_male.iff		storyteller	Gungan
9	object/mobile/shared_dressed_ewok_m_01.iff		storyteller	Ewok
10	object/mobile/shared_gamorrean.iff		storyteller	Gamorrean Guard
11	object/mobile/shared_battle_droid.iff		storyteller	B1 Battle Droid
12	object/mobile/shared_4lom.iff		storyteller	4-LOM
13	object/mobile/shared_dantari_male.iff	object/mobile/shared_dantari_female.iff	storyteller	Dantari (Male)
14	object/mobile/shared_dantari_female.iff	object/mobile/shared_dantari_male.iff	storyteller	Dantari (Female)
15	object/mobile/shared_muftak.iff		storyteller	muftak
16	object/mobile/shared_royal_guard.iff		storyteller	Imperial Royal Guard
17	object/mobile/shared_nexus_8t88.iff		storyteller	8t88
18	object/mobile/som/shared_som_kenobi_reunite_dark_trooper.iff		storyteller	Dark Trooper
19	object/mobile/shared_mustafarian.iff		storyteller	Mustafarian (Thin)
20	object/mobile/shared_chevin.iff		storyteller	Chevin (Male)
21	object/mobile/som/shared_ig106.iff		storyteller	IG-106
22	object/mobile/shared_super_battle_droid.iff		storyteller	super battle droid
23	object/mobile/shared_bomarr_monk_spider_droid.iff		storyteller	B'omarr monk spider droid
24	object/mobile/shared_costume_undead_wke_m_01.iff	object/mobile/shared_costume_undead_wke_f_01.iff	storyteller	Undead Wookiee (M/F)
25	object/mobile/shared_ewok_male_01.iff	object/mobile/shared_ewok_female_01.iff	storyteller	Burning Ewok
26	object/mobile/shared_costume_chiss_m_01.iff	object/mobile/shared_costume_chiss_f_01.iff	storyteller	Chiss Male
27	object/mobile/shared_costume_exar_kun_cultist.iff		storyteller	Exar Kun Cultist
28	object/mobile/shared_lifeday_monkey_lizard.iff		storyteller	Kowakian Monkey-Lizard (Lifeday)
29	object/mobile/shared_lando.iff		lando	Lando Calrissian
30	object/mobile/shared_leia_static.iff		leia organa	Leia Organa
31	object/mobile/shared_han_solo_static.iff		han solo	Han Solo
32	object/mobile/shared_luke_skywalker_static.iff		luke skywalker	Luke Skywalker
33	object/mobile/shared_darth_vader.iff		darth vader	Darth Vader
34	object/mobile/shared_yoda.iff		yoda	Yoda
35	object/mobile/shared_boba_fett.iff		boba fett	Boba Fett
36	object/mobile/som/shared_obi_wan_ghost.iff		obi-wan ghost	Obi-wan Kenobi (Ghost)
37	object/mobile/shared_dressed_dathomir_nightsister_axkva.iff		axkva min	Axkva Min
38	object/mobile/shared_meatlump_king.iff		meatlump king	Meatlump King
39	object/mobile/shared_wampa.iff		wampa	Wampa
40	object/mobile/shared_rancor.iff		rancor	Rancor
41	object/mobile/shared_mutant_rancor_static.iff		mutant rancor	Rancor (Mutant)
42	object/mobile/shared_outbreak_afflicted_blackwing_rancor_boss.iff		blackwing rancor	Rancor (QZ)
43	object/mobile/shared_tusken_king.iff		tusken king	Tusken King
44	object/mobile/shared_zozpheratu_static.iff		zozpheratu	Z'ozpheratu
45	object/mobile/shared_skeleton_static.iff		skeleton	Skeleton
46	object/mobile/shared_dressed_geonosian_m.iff		geonosian	Geonosian (Male)
47	object/mobile/shared_tauntaun.iff		tauntaun	Tauntaun
48	object/mobile/shared_mynock.iff		mynock	Mynock
49	object/mobile/shared_ugnaught_aggro.iff		ugnaught	Ugnaught
50	object/mobile/shared_dug_m.iff		dug	Dug (Male)
51	object/mobile/shared_awing_mini.tpf		halloween	A-Wing (Miniature)
52	object/mobile/shared_tcg_familiar_tie_fighter.tpf		halloween	TIE Fighter Mini
