color	description
s	s
aliceblue	Alice Blue
azure	Azure
azure_blue	Azure Blue
baby_blue	Baby Blue
balloon_blue	Balloon Blue
blueberry_blue	Blueberry Blue
blue	Blue
blue_angel	Angel Blue
blue_dress	Blue (Clothing Temperature)
blue_eyes	Blue (Eye Color)
blue_ivy	Ivy Blue
blue_jay	Blue Jay
blue_koi	Koi Blue
blue_orchid Orchid Blue
blue_ribbon	Ribbon Blue
bright_blue	Bright Blue
bright_navy_blue	Navy Blue
butterfly_blue	Butterfly Blue
canary_blue	Canary Blue
charcoal_blue	Charcoal Blue
cobalt_blue	Cobalt Blue
columbia_blue	Columbian Blue
coral_blue	Coral Blue
cornflowerblue	Cornflower Blue
crystal_blue	Crystal Blue
darkblue	Dark Blue
dark_blue_grey	Dark Blue (Gray)
dark_slate	Slate Blue
day_sky_blue	Sky Blue (Day)
deepskyblue	Deep Sky Blue
deep_sea_blue	Deep Sea Blue
denim_blue	Denim
denim_dark_blue	Dark Denim
dodgerblue	Dodger Blue
earth_blue	Earth Blue
ghostwhite	Ghost Blue
glacial_blue_ice	Glacial Blue
gulf_blue	Gulf Blue
heavenly_blue	Angelic Blue
iceberg	iceberg
jeans_blue	Blue Jeans
lapis_blue Lapiz
lavender	Lavender
lavender_blue	Lavender Blue
lightblue	Light Blue
lightskyblue	Light Blue Sky
lightsteelblue	Light Blue Steel
light_day_blue	Light Sky Blue (Day)
light_purple_blue	Light Blueish Purple
marble_blue	Marble Blue
mediumblue	Tepid Blue
midday_blue	Midday Blue
midnightblue	Midnight Blue
mist_blue	Mist Blue
navy	Navy
neon_blue	Neon Blue
new_midnight_blue	New Midnight Blue
night_blue	Dusky Blue
ocean_blue	Oceanic Blue
pastel_blue	Pastel Blue
pastel_light_blue	Pastel Blue (Light)
powderblue	Powder Blue
robin_egg_blue	Peko-Peko Egg Blue
royalblue	Royal Blue
sapphire_blue	Sapphire Blue
sea_blue	Lake Blue
silk_blue	Blue Silk
skyblue	Cloudy Blue
sky_blue_dress	Sky Blue (Clothing Temperature)
slate_blue_grey	Blue Gray Slate
steelblue	Steel Blue
water	Aqua
windows_blue	Window Pane Blue
