color	description
s	s
aquamarine	Cyan Aqua
blue_diamond	Diamond
blue_green	Blue Green
blue_hosta	Hostas
blue_lagoon	Lagoon
blue_turquoise	Turquoise
blue_zircon	Zircon
bright_cyan	Bright Cyan
bright_turquoise	Bright Turquoise
celeste	Celestial Cyan
cyan	Cyan
cyan_opaque	Opaque Cyan
darkturquoise	Dark Turquoise
deep_turquoise	Darker Turquoise
electric_blue	Electic Blue
jellyfish	Jellyfish
lightcyan	Light Cyan
light_aquamarine	Aquamarine (Light)
light_slate	Slate Cyan
magic_mint	Magic Mint
mediumaquamarine	Medium Aquamarine
mediumturquoise Turquoise (Light)
northern_lights_blue	Northern Lights
paleturquoise	Pale Turquoise
pale_blue_lily	Pale Lilly Cyan
tiffany_blue Surreal Cyan
tron_blue	Tron
turquoise	Turquoise
