color	description
s	s
alien_gray	Alien Gray
ash_gray	Ash Gray
battleship_gray	Battleship Gray
black_cat	Black Cat
black_cow	Black Cow
black_eel	Black Eel
blue_gray	Blue Gray
carbon_gray	Carbon Gray
charcoal	Charcoal
cloudy_gray	Cloudy Gray
darkgray	Dark Gray
dark_gray	Darker Gray
dimgray	Dim Gray
gainsboro	Gainsboro
granite	Granite
gray	Gray
gray_cloud	Cloudy Gray
gray_dolphin	Dolphin Gray
gray_goose	Goose Gray
gray_wolf	Wolf Gray
gunmetal_gray	Gun-metal Gray
iridium	Iridium
iron_gray	Iron
jet_gray	Jet Gray
lightgray	Light Gray
lightslategray	Light Gray Slate
light_black	Light Grayish Black
metallic_silver	Metallic Gray
nardo_gray	Tame Gray
night	Night Gray
oil	Motor Oil Gray
pale_silver	Pale Silver
platinum	Platinum
platinum_gray	Platinum Gray
platinum_silver	Platinum Silver
rat_gray	Rat Gray
roman_silver	Roman Silver
silver	Silver
slategray	Slate Gray
slate_granite_gray	Slate Granite Gray
smokey_gray	Smokey Gray
sonic_silver	Sonic Silver
vampire_gray	Vampire Gray
