color	description
s	s
acid_green	Acid
algae_green	Algae
alien_green	Alien
aloe_vera_green	Aloe Vera
aquamarine_stone	Aquamarine
army_green	Army
avocado_green	Avocado
beetle_green	Beetle
blue_moss_green	Blue Moss
bright_green	Bright Green
cadetblue	Cadet Blue
camouflage_green	Camo
chameleon_green	Chameleon
chartreuse	Chartreuse
clover_green	Clover
darkcyan	Dark Cyan
darkgreen	Dark Green
darkolivegreen	Dark Olive Green
darkseagreen	Dark Sea Green
darkslategray	Dark Slate Gray
dark_forest_green	Dark Forest Green
dark_lime_green	Dark Lime Green
dark_mint	Dark Mint
deep_emerald_green	Deep Emerald Green
deep_sea	Deep Sea
deep_sea_green	Deep Sea Green
deep_teal	Deep Teal
dinosaur_green	Dinosaur Green
dollar_bill_green	Dollar Bill Green
dragon_green	Dragon Green
dull_green_yellow	Dull Greenish/Yellow
dull_sea_green	Dull Sea Green
earth_green	Earth Green
emerald	Emerald
emerald_green	Emerald Green
fall_forest_green	Forest Green
fern_green	Fern
forestgreen	Forest (Light)
frog_green	Frog Green
grayish_turquoise	Green Turquoise
greenish_blue	Blue
greenyellow	Yellow/Green
green	Green
green_apple	Green Apple
green_onion	Green Onion
green_peas	Green Tubers
green_pepper	Green Vegatables
green_snake	Green Snake
green_thumb	Green Thumb
gunmetal	Gun-Metal Green
hazel_green	Hazel Green
hummingbird_green	Hummingbird
iguana_green	Iguana
jade	Jade
jade_green	Jade (Light)
jungle_green	Jungle
kelly_green	Kelly Green
lawngreen	Lawn Green
lightgreen	Light Green
lightseagreen	Light Sea Green
light_jade	Light Jade
light_rose_green	Light Rose Green
limegreen	Lime Green
lime	Lime
lime_mint_green	Lime Mint Green
macaw_blue_green	Macaw
mediumseagreen	Medium Sea Green
mediumspringgreen	Spring Green
medium_forest_green	Forest Green
medium_teal	Medium Teal
mint	Mint
mint_green	Mint Green
nebula_green	Nebula Green
neon_green	Neon Green
neon_yellow_green	Neon Yellow
olivedrab	Olive
olive	Light Olive
organic_brown	Brown
palegreen	Pale Green
parrot_green	Parrot
pastel_green	Pastel
pea_green	Vegetable
pine_green	Pine
pistachio_green	Pistachio
sage_green	Sage
salad_green	Salad
seafoam_green	Seafoam
seagreen	Sea Green
seaweed_green	Seaweed
sea_turtle_green	Sea Turtle
shamrock_green	Shamrokc
slime_green	Slime
springgreen	Spring
stoplight_go_green	Traffic Light Green
teal	Teal
tea_green	Green Tea
venom_green	Venom
yellow_green_grosbeak	Yellow/Green
yellow_lawn_green	Lawn Clippings
zombie_green	Zombie
