root_color	sub_color
s	s
blue	aliceblue
blue	azure
blue	azure_blue
blue	baby_blue
blue	balloon_blue
blue	blueberry_blue
blue	blue
blue	blue_angel
blue	blue_dress
blue	blue_eyes
blue	blue_ivy
blue	blue_jay
blue	blue_koi
blue	blue_orchid
blue	blue_ribbon
blue	bright_blue
blue	bright_navy_blue
blue	butterfly_blue
blue	canary_blue
blue	charcoal_blue
blue	cobalt_blue
blue	columbia_blue
blue	coral_blue
blue	cornflowerblue
blue	crystal_blue
blue	darkblue
blue	dark_blue_grey
blue	dark_slate
blue	day_sky_blue
blue	deepskyblue
blue	deep_sea_blue
blue	denim_blue
blue	denim_dark_blue
blue	dodgerblue
blue	earth_blue
blue	ghostwhite
blue	glacial_blue_ice
blue	gulf_blue
blue	heavenly_blue
blue	iceberg
blue	jeans_blue
blue	lapis_blue
blue	lavender
blue	lavender_blue
blue	lightblue
blue	lightskyblue
blue	lightsteelblue
blue	light_day_blue
blue	light_purple_blue
blue	marble_blue
blue	mediumblue
blue	midday_blue
blue	midnightblue
blue	mist_blue
blue	navy
blue	neon_blue
blue	new_midnight_blue
blue	night_blue
blue	ocean_blue
blue	pastel_blue
blue	pastel_light_blue
blue	powderblue
blue	robin_egg_blue
blue	royalblue
blue	sapphire_blue
blue	sea_blue
blue	silk_blue
blue	skyblue
blue	sky_blue_dress
blue	slate_blue_grey
blue	steelblue
blue	water
blue	windows_blue
cyan	aquamarine
cyan	blue_diamond
cyan	blue_green
cyan	blue_hosta
cyan	blue_lagoon
cyan	blue_turquoise
cyan	blue_zircon
cyan	bright_cyan
cyan	bright_turquoise
cyan	celeste
cyan	cyan
cyan	cyan_opaque
cyan	darkturquoise
cyan	deep_turquoise
cyan	electric_blue
cyan	jellyfish
cyan	lightcyan
cyan	light_aquamarine
cyan	light_slate
cyan	magic_mint
cyan	mediumaquamarine
cyan	mediumturquoise
cyan	northern_lights_blue
cyan	paleturquoise
cyan	pale_blue_lily
cyan	tiffany_blue
cyan	tron_blue
cyan	turquoise
gray	alien_gray
gray	ash_gray
gray	battleship_gray
gray	black_cat
gray	black_cow
gray	black_eel
gray	blue_gray
gray	carbon_gray
gray	charcoal
gray	cloudy_gray
gray	darkgray
gray	dark_gray
gray	dimgray
gray	gainsboro
gray	granite
gray	gray
gray	gray_cloud
gray	gray_dolphin
gray	gray_goose
gray	gray_wolf
gray	gunmetal_gray
gray	iridium
gray	iron_gray
gray	jet_gray
gray	lightgray
gray	lightslategray
gray	light_black
gray	metallic_silver
gray	nardo_gray
gray	night
gray	oil
gray	pale_silver
gray	platinum
gray	platinum_gray
gray	platinum_silver
gray	rat_gray
gray	roman_silver
gray	silver
gray	slategray
gray	slate_granite_gray
gray	smokey_gray
gray	sonic_silver
gray	vampire_gray
green	acid_green
green	algae_green
green	alien_green
green	aloe_vera_green
green	aquamarine_stone
green	army_green
green	avocado_green
green	beetle_green
green	blue_moss_green
green	bright_green
green	cadetblue
green	camouflage_green
green	chameleon_green
green	chartreuse
green	clover_green
green	darkcyan
green	darkgreen
green	darkolivegreen
green	darkseagreen
green	darkslategray
green	dark_forest_green
green	dark_lime_green
green	dark_mint
green	deep_emerald_green
green	deep_sea
green	deep_sea_green
green	deep_teal
green	dinosaur_green
green	dollar_bill_green
green	dragon_green
green	dull_green_yellow
green	dull_sea_green
green	earth_green
green	emerald
green	emerald_green
green	fall_forest_green
green	fern_green
green	forestgreen
green	frog_green
green	grayish_turquoise
green	greenish_blue
green	greenyellow
green	green
green	green_apple
green	green_onion
green	green_peas
green	green_pepper
green	green_snake
green	green_thumb
green	gunmetal
green	hazel_green
green	hummingbird_green
green	iguana_green
green	jade
green	jade_green
green	jungle_green
green	kelly_green
green	lawngreen
green	lightgreen
green	lightseagreen
green	light_jade
green	light_rose_green
green	limegreen
green	lime
green	lime_mint_green
green	macaw_blue_green
green	mediumseagreen
green	mediumspringgreen
green	medium_forest_green
green	medium_teal
green	mint
green	mint_green
green	nebula_green
green	neon_green
green	neon_yellow_green
green	olivedrab
green	olive
green	organic_brown
green	palegreen
green	parrot_green
green	pastel_green
green	pea_green
green	pine_green
green	pistachio_green
green	sage_green
green	salad_green
green	seafoam_green
green	seagreen
green	seaweed_green
green	sea_turtle_green
green	shamrock_green
green	slime_green
green	springgreen
green	stoplight_go_green
green	teal
green	tea_green
green	venom_green
green	yellowgreen
green	yellow_green_grosbeak
green	yellow_lawn_green
green	zombie_green
orange	antique_bronze
orange	army_brown
orange	bakers_brown
orange	basket_ball_orange
orange	bee_yellow
orange	blood_red
orange	brass
orange	bright_orange
orange	bronze
orange	brown_bear
orange	brown_sand
orange	brown_sugar
orange	bullet_shell
orange	burlywood
orange	camel_brown
orange	caramel
orange	carrot_orange
orange	chestnut
orange	chestnut_red
orange	chocolate
orange	cinnamon
orange	coffee
orange	construction_cone_orange
orange	cookie_brown
orange	copper
orange	copper_red
orange	coral
orange	darkgoldenrod
orange	darkkhaki
orange	darkorange
orange	darksalmon
orange	dark_almond
orange	dark_bisque
orange	dark_bronze
orange	dark_brown
orange	dark_coffee
orange	dark_gold
orange	dark_moccasin
orange	dark_sienna
orange	dark_yellow
orange	deer_brown
orange	fall_leaf_brown
orange	ginger_brown
orange	goldenrod
orange	gray_brown
orange	halloween_orange
orange	hazel
orange	indian_saffron
orange	khaki_green
orange	lightsalmon
orange	light_brown
orange	light_copper
orange	light_french_beige
orange	light_salmon_rose
orange	mahogany
orange	mango_orange
orange	metallic_gold
orange	milk_chocolate
orange	mocha
orange	neon_orange
orange	oak_brown
orange	old_burgundy
orange	olive_green
orange	orange
orange	orange_gold
orange	orange_salmon
orange	papaya_orange
orange	peru
orange	petra_gold
orange	pumpkin_orange
orange	red_dirt
orange	red_fox
orange	rust
orange	saddlebrown
orange	sage
orange	sandstone
orange	sandybrown
orange	sand
orange	sangria
orange	school_bus_yellow
orange	sedona
orange	sepia
orange	sepia_brown
orange	sienna
orange	sunrise_orange
orange	tangerine
orange	tan
orange	taupe
orange	tiger_orange
orange	western_charcoal
orange	wood
pink	baby_pink
pink	bashful_pink
pink	blush
pink	blush_red
pink	bright_maroon
pink	bright_neon_pink
pink	burnt_pink
pink	cadillac_pink
pink	carnation_pink
pink	crimson
pink	dark_carnation_pink
pink	dark_hot_pink
pink	dark_pink
pink	deeppink
pink	deep_mauve
pink	deep_rose
pink	dimorphotheca_magenta
pink	donut_pink
pink	flamingo_pink
pink	hotpink
pink	hot_deep_pink
pink	lightpink
pink	light_red
pink	light_rose
pink	magenta
pink	mediumvioletred
pink	mistyrose
pink	neon_hot_pink
pink	neon_pink
pink	orchid
pink	palevioletred
pink	pastel_pink
pink	pig_pink
pink	pink
pink	pink_bubble_gum
pink	pink_cupcake
pink	pink_lemonade
pink	pink_plum
pink	pink_violet
pink	purple_pink
pink	raspberry
pink	raspberry_purple
pink	rogue_pink
pink	rose_pink
pink	rose_red
pink	tulip_pink
pink	violet
pink	violet_red
pink	watermelon_pink
purple	aztech_purple
purple	blossom_pink
purple	blueviolet
purple	blue_lotus
purple	blue_whale
purple	blush_pink
purple	bright_grape
purple	bright_lilac
purple	bright_purple
purple	clematis_violet
purple	cotton_candy
purple	crimson_purple
purple	crocus_purple
purple	darkmagenta
purple	darkorchid
purple	darkslateblue
purple	darkviolet
purple	dark_purple
purple	deep_periwinkle
purple	deep_purple
purple	eggplant
purple	french_lilac
purple	grape
purple	heliotrope_purple
purple	indigo
purple	jasmine_purple
purple	lavender_purple
purple	light_purple
purple	light_slate_blue
purple	lilac
purple	lovely_purple
purple	mauve
purple	mauve_taupe
purple	mediumorchid
purple	mediumpurple
purple	mediumslateblue
purple	neon_purple
purple	orchid_purple
purple	pale_lilac
purple	pastel_purple
purple	pastel_violet
purple	periwinkle
purple	periwinkle_pink
purple	periwinkle_purple
purple	plum
purple	plum_purple
purple	purple
purple	purple_amethyst
purple	purple_daffodil
purple	purple_dragon
purple	purple_flower
purple	purple_haze
purple	purple_iris
purple	purple_jam
purple	purple_mimosa
purple	purple_monster
purple	purple_navy
purple	purple_plum
purple	purple_sage_bush
purple	purple_thistle
purple	purple_violet
purple	rebeccapurple
purple	rich_lilac
purple	slateblue
purple	thistle
purple	tyrian_purple
purple	very_peri
purple	viola_purple
purple	wisteria_purple
red	bean_red
red	black_bean
red	blood_night
red	brown
red	burgundy
red	carbon_red
red	cherry_red
red	chilli_pepper
red	chocolate_brown
red	cranberry
red	crimson_red
red	darkred
red	dark_raspberry
red	dark_scarlet
red	deep_peach
red	deep_red
red	desert_sand
red	dull_purple
red	dusty_pink
red	ferrari_red
red	firebrick
red	fire_engine_red
red	grapefruit
red	indianred
red	khaki_rose
red	lava_red
red	lightcoral
red	lipstick_pink
red	love_red
red	maroon
red	midnight
red	neon_red
red	orangered
red	pastel_orange
red	pastel_red
red	pink_brown
red	pink_coral
red	pink_daisy
red	plum_pie
red	plum_velvet
red	puce
red	purple_lily
red	purple_maroon
red	red
red	red_blood
red	rose
red	rose_dust
red	rose_gold
red	rosybrown
red	rosy_finch
red	rosy_pink
red	ruby_red
red	saffron_red
red	salmon
red	scarlet
red	shocking_orange
red	silver_pink
red	tomato
red	tomato_sauce_red
red	unbleached_silk
red	valentine_red
red	velvet_maroon
red	vermilion
red	wine_red
white	ash_white
white	cotton
white	dark_white
white	egg_shell
white	floralwhite
white	ivory
white	lavenderblush
white	lavender_pinocchio
white	light_white
white	linen
white	milk_white
white	off_white
white	oldlace
white	pearl
white	pearl_white
white	rice
white	seashell
white	snow
white	soft_ivory
white	whitesmoke
white	white
white	white_chocolate
yellow	antiquewhite
yellow	banana_yellow
yellow	beer
yellow	beige
yellow	bisque
yellow	blanchedalmond
yellow	blonde
yellow	bold_yellow
yellow	bright_gold
yellow	canary_yellow
yellow	cantaloupe
yellow	cardboard_brown
yellow	champagne
yellow	chrome_gold
yellow	cornsilk
yellow	corn_yellow
yellow	cream
yellow	cream_white
yellow	dark_blonde
yellow	deep_yellow
yellow	dirty_white
yellow	golden_blonde
yellow	golden_brown
yellow	golden_silk
yellow	golden_yellow
yellow	gold
yellow	harvest_gold
yellow	honeydew
yellow	khaki
yellow	lemonchiffon
yellow	lightgoldenrodyellow
