color	description
s	s
antique_bronze	Antique Bronze
army_brown	Army Brown
bakers_brown	Bakers Brown
basket_ball_orange	Sports Ball Brown
bee_yellow	Bee Yellow
blood_red	Blood Red
brass	Brass
bright_orange	Bright Orange
bronze	Bronze
brown_bear	Brown Bear
brown_sand	Brown Sand
brown_sugar	Brown Sugar
bullet_shell	Bullet Shell
burlywood	Burlywood
camel_brown	Eopie
caramel	Caramel
carrot_orange	Carrot
chestnut	Chestnut
chestnut_red	Red Chestnut
chocolate	Chocolate
cinnamon	Cinnamon
coffee	Coffee
construction_cone_orange	Hazard Orange
cookie_brown	Cookie Batter Brown
copper	Copper
copper_red	Copper (Red)
coral	Coral
darkgoldenrod	Dark Golden Rod
darkkhaki	Dark Khaki
darkorange	Dark Orange
darksalmon	Dark  Salmon
dark_almond	Dark Almond
dark_bisque	Dark Bisque
dark_bronze	Dark Bronze
dark_brown	Dark Brown
dark_coffee	Dark Coffee
dark_gold	Dark Gold
dark_moccasin	Dark Moccasin
dark_sienna	Dark Sienna
dark_yellow	Dark Yellow
deer_brown	Deer Brown
fall_leaf_brown	Fall Leaf
ginger_brown	Ginger
goldenrod	Golden Rod
gray_brown	Brownish Gray
halloween_orange	Ominous Orange
hazel	Hazel
indian_saffron	Native American Spice
khaki_green	Khaki Green
lightsalmon	Light Salmon
light_brown	Light Brown
light_copper	Light Copper
light_french_beige	Light French Beige
light_salmon_rose	Light Salmon Rose
mahogany	Mahogany
mango_orange	Mango
metallic_gold	Metallic Gold
milk_chocolate	Milk Chocolate
mocha	Mocha
neon_orange	Neon Orange
oak_brown	Oak Brown
old_burgundy	Old Burgundy
olive_green	Olive Green
orange	Orange
orange_gold	Goldish Orange
orange_salmon	Salmon Orange
papaya_orange	Papaya
peru	Peru
petra_gold	Petra
pumpkin_orange	Pumpkin
red_dirt	Red Dirt
red_fox	Red Fox
rust	Rust
saddlebrown	Saddle Brown
sage	Sage
sandstone	Sandstone
sandybrown	Sandy Brown
sand	Sand
sangria	Sangria
school_bus_yellow	Hazard Yellow
sedona	Sedona
sepia	Sepia
sepia_brown	Sepia Brown
sienna	Sienna
sunrise_orange	Sunrise Orange
tangerine	Tangerine
tan	Tan
taupe	Taupe
tiger_orange	Tiger
western_charcoal	Western Charcoal
wood	Wood
