color	description
s	s
baby_pink	Baby Pink
bashful_pink	Bashful Pink
blush	Blush
blush_red	Blush (Red)
bright_maroon	Bright Maroon
bright_neon_pink	Bright Neon Pink
burnt_pink	Burnt Pink
cadillac_pink	Swoopbike Pink
carnation_pink	Carnation Pink
crimson	Crimson
dark_carnation_pink	Dark Carnation Pink
dark_hot_pink	Dark Hot Pink
dark_pink	Dark Pink
deeppink	Deep Pink
deep_mauve	Deep Mauve
deep_rose	Deep Rose
dimorphotheca_magenta	Dimorphotheca Magenta
donut_pink	Pastry Pink
flamingo_pink	Bird Pink
hotpink	Hot Pink
hot_deep_pink	Hot Deep Pink
lightpink	Light Pink
light_red	Light Red
light_rose	Light Rose
magenta	Magenta
mediumvioletred	Medium Violet Red
mistyrose	Misty Rose
neon_hot_pink	Neon Hot Pink
neon_pink	Neon Pink
orchid	Orchid
palevioletred	Pale Violet Red
pastel_pink	Pastel Pink
pig_pink	Pig Pink
pink	Pink
pink_bubble_gum	Pink Bubble Gum
pink_cupcake	Pink Cupcake
pink_lemonade	Pink Lemonade
pink_plum	Pink Plum
pink_violet	Pink Violet
purple_pink	Purple Pink
raspberry	Raspberry
raspberry_purple	Purple Raspberry
rogue_pink	Rogue Pink
rose_pink	Rose Pink
rose_red	Rose Red
tulip_pink	Tulip Pink
violet	Violet
violet_red	Violet (Red)
watermelon_pink	Watermelon Pink
