color	description
s	s
aztech_purple	Aztec Purple
blossom_pink	Blossom Pink
blueviolet	Violet Blue
blue_lotus	Blue Lotus
blue_whale	Blue Whale
blush_pink	Pink Blush
bright_grape	Bright Grape
bright_lilac	Bright Lilac
bright_purple	Bright Purple
clematis_violet	Clematis Violet
cotton_candy	Cotton Candy
crimson_purple	Crimson Purple
crocus_purple	Crocus Purple
darkmagenta	Dark Magenta
darkorchid	Dark Orchid
darkslateblue	Dark Slate Blue
darkviolet	Dark Violet
dark_purple	Dark Purple
deep_periwinkle	Deep Periwinkle
deep_purple	Deep Purple
eggplant	Eggplant
french_lilac	French Lilac
grape	Grape
heliotrope_purple	Heliotrope Purple
indigo	Indigo
jasmine_purple	Jasmine Purple
lavender_purple	Lavender Purple
light_purple	Light Purple
light_slate_blue	Light Slate Blue
lilac	Lilac
lovely_purple	Loveday Purple
mauve	Mauve
mauve_taupe	Mauve Taupe
mediumorchid	Medium Orchid
mediumpurple	Medium Purple
mediumslateblue	Medium Slate Blue
neon_purple	Neon Purple
orchid_purple	Orchid Purple
pale_lilac	Pale LIlac
pastel_purple	Pastel Purple
pastel_violet	Pastel Violet
periwinkle	Periwinkle
periwinkle_pink	Periwinkle Pink
periwinkle_purple	Periwinkle Purple
plum	Plum
plum_purple	Plum Purple
purple	Purple
purple_amethyst	Purple Amethyst
purple_daffodil	Purple Daffodil
purple_dragon	Purple Dragon
purple_flower	Purple Flower
purple_haze	Purple Haze
purple_iris	Purple Iris
purple_jam	Purple Jam
purple_mimosa	Purple Mimosa
purple_monster	Purple Monster
purple_navy	Purple Navy
purple_plum	Purple Plum
purple_sage_bush	Purple Sage Bush
purple_thistle	Purple Thistle
purple_violet	Violet Purple
rebeccapurple	Ambrosia Purple
rich_lilac	Rich Lilac
slateblue	Slate Blue
thistle	Thistle
tyrian_purple	Tyrian Purple
very_peri	Very Periwinkle
viola_purple	Viola Purple
wisteria_purple	Wisteria Purple
