color	description
s	s
bean_red	Red Bean
black_bean	Black Bean
blood_night	Blood Night
brown	Brown
burgundy	Burgundy
carbon_red	Carbon Red
cherry_red	Cherry Red
chilli_pepper	Chilli Pepper
chocolate_brown	Chocolate Brown
cranberry	Cranberry
crimson_red	Crimson Red
darkred	Dark Red
dark_raspberry	Dark Raspberry
dark_scarlet	Dark Scarlet
deep_peach	Deep Peach
deep_red	Deep Red
desert_sand	Desert Sand
dull_purple	Dull Purple
dusty_pink	Dusty Pink
ferrari_red	Ferrari Red
firebrick	Firebrick
fire_engine_red	Fire Engine Red
grapefruit	Grapefruit
indianred	Native Red
khaki_rose	Khaki Rose
lava_red	Lava Red
lightcoral	Light Coral
lipstick_pink	Lipstick Pink
love_red	Love Red
maroon	Maroon
midnight	Midnight
neon_red	Neon Red
orangered	Orange Red
pastel_orange	Pastel Orange
pastel_red	Pastel Red
pink_brown	Pink Brown
pink_coral	Pink Coral
pink_daisy	Pink Daisy
plum_pie	Plum Pie
plum_velvet	Velvet Plum
puce	Puce
purple_lily	Purple Lily
purple_maroon	Purple Maroon
red	Red
red_blood	Blood Red
rose	Rose
rose_dust	Rose Dust
rose_gold	Rose Gold
rosybrown	Rosy Brown
rosy_finch	Rosy Finch
rosy_pink	Rosy Pink
ruby_red	Ruby Red
saffron_red	Saffron Red
salmon	Salmon
scarlet	Scarlet
shocking_orange	Shocking Orange
silver_pink	Silver Pink
tomato	Tomato
tomato_sauce_red	Tomato Sauce
unbleached_silk	Unbleached Silk
valentine_red	Loveday Red
velvet_maroon	Velvet Maroon
vermilion	Vermillion
wine_red	Meatlump Wine Red
