color	description
s	s
antiquewhite	Antique White
banana_yellow	Banana Yellow
beer	Beer
beige	Beige
bisque	Bisque
blanchedalmond	Blanched Almond
blonde	Blonde
bold_yellow	Bold Yellow
bright_gold	Bright Yellow
canary_yellow	Canary Yellow
cantaloupe	Cantaloupe
cardboard_brown	Cardboard
champagne	Champagne
chrome_gold	Chrome Gold
cornsilk	Cornsilk
corn_yellow	Corn Yellow
cream	Cream
cream_white	Cream White
dark_blonde	Dark Blonde
deep_yellow	Deep Yellow
dirty_white	Dirty White
golden_blonde	Golden Blonde
golden_brown	Golden Brown
golden_silk	Golden Silk
golden_yellow	Golden Yellow
gold	Gold
harvest_gold	Harvest Gold
honeydew	Honeydew
khaki	Khaki
lemonchiffon	Lemon Chiffon
lightgoldenrodyellow	Light Golden Rod Yellow
lightyellow	Light Yellow
light_gold	Light Gold
light_orange	Light Orange
macaroni_and_cheese	Macaroni and Cheese
mintcream	Mint Cream
moccasin	Moccasin
mustard_yellow	Mustard Yellow
navajowhite	Navajo White
neon_yellow	Neon Yellow
palegoldenrod	Pale Golden Rod
papayawhip	Whipped Papaya
parchment	Parchment
pastel_yellow	Pastel Yellow
peachpuff	Peach Puff
peach	Peach
rubber_ducky_yellow	Bathtub Toy Yellow
saffron	Saffron
sun_yellow	Twin Sun Yellow
tan_brown	Tan Brown
vanilla	Vanilla
wheat	Wheat
yellow	Yellow
yellow_orange	Yellow Orange
