item1	item2	item3	finalTemplate	finalScript	finalName	level
s[none]	s[none]	s[none]	s[none]	s[none]	s[none]	c
item_mustafar_wg_reactive_antidote	item_mustafar_wg_dispersal_unit	item_mustafar_wg_poison_gland	object/tangible/item/som/sher_kar_syringe.iff			LEVEL 27 ITEM
item_mustafar_wg_artifact	item_mustafar_wg_engine	item_mustafar_wg_skull	item_tow_lava_crystal_06_01			LEVEL 27 ITEM
item_mustafar_wg_rod	item_mustafar_wg_pill_box	item_mustafar_wg_gravestone	item_jedi_robe_04_04			LEVEL 27 ITEM
item_mustafar_wg_scroll	item_mustafar_wg_deed	item_mustafar_wg_gravestone	item_jedi_robe_04_03			LEVEL 27 ITEM
item_mustafar_wg_magseal_detector	item_mustafar_wg_splinters	item_mustafar_wg_metallic_eye	item_tow_necklace_taming_03_05			LEVEL 27 ITEM
item_mustafar_wg_aeromagnifier	item_mustafar_wg_metallic_eye	item_mustafar_wg_rod	item_tow_bracelet_proc_combat_03_01			LEVEL 27 ITEM
item_mustafar_wg_artifact	item_mustafar_wg_skull	item_mustafar_dg_device	weapon_tow_cannon_05_01			LEVEL 21 ITEM
item_mustafar_wg_pill_box	item_mustafar_wg_skull	item_mustafar_dg_id_badge	weapon_tow_sword_2h_05_01			LEVEL 21 ITEM
item_mustafar_wg_pill_box	item_mustafar_wg_artifact	item_mustafar_dg_device	weapon_tow_pistol_05_02			LEVEL 21 ITEM
item_mustafar_wg_deed	item_mustafar_wg_gravestone	item_mustafar_dg_binoculars	weapon_tow_rifle_05_02			LEVEL 21 ITEM
item_mustafar_wg_deed	item_mustafar_wg_engine	item_mustafar_dg_magnetite_cleaner	weapon_tow_flamer_05_01			LEVEL 21 ITEM
item_mustafar_wg_scroll	item_mustafar_wg_artifact	item_mustafar_dg_shield_repair_kit	weapon_tow_rifle_05_01			LEVEL 21 ITEM
