item	cash	limit	note
s	i	i[0]	c
item_roadmap_food_drink_accarragm_01_02	10000		Accarragm
item_roadmap_food_drink_bespin_port_01_02	50000		Bespin Port
item_roadmap_food_drink_breath_of_heaven_01_02	15000		Breath of Heaven
item_roadmap_food_dessert_deneelian_fizz_pudding_01_02	25000		Deneelian Fizz Pudding
item_roadmap_food_drink_flameout_01_02	15000		Flameout
item_roadmap_food_drink_ithorian_mist_01_02	10000		Ithorian Mist
item_roadmap_food_drink_mandalorian_wine_01_02	5000		Mandalorian Wine
item_roadmap_food_dessert_pyollian_cake_01_02	50000		Pyollian Cake
item_roadmap_food_dessert_smugglers_delight_01_02	5000		Smuggler's Delight
item_roadmap_food_dish_thakitillo_01_02	5000		Thakitillo
item_roadmap_food_dish_trimpian_01_02	15000		Trimpian
item_roadmap_food_dish_veghash_01_02	10000		Veghash
