item	cash	token24	token25	token26	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
rare_loot_chest_quality_1			10				
rare_loot_chest_quality_2				1			
rare_loot_chest_quality_3				50			
item_pgc_booster_pack			20		0		"See library.utils for the int value of the classes. 0 is ""all"" but will only show if there are no items for the opener's class."
item_pgc_booster_pack_comm			20				
item_pgc_booster_pack_goto			20				
item_pgc_booster_pack_heroic_pack			50				
item_pgc_booster_pack_world_boss			100				
item_pgc_copper_token_box_01_01			1				
item_pgc_silver_token_box_01_01				1			
item_pgc_gold_token_box_01_01			1000				
item_deed_landspeeder_usv5_s02				24			"So in the case of this table only traders will see the ""all"" items."
item_deed_podracer_anakin				30			
item_pgc_starship_storage_device_01				16			
item_pgc_sandcrawler_house_deed				48			
item_tcg_loot_reward_series1_indoor_fountain_01				10			Large Indoor Fountain
item_tcg_loot_reward_series1_indoor_fountain_02				10			Small Indoor Fountain
item_tcg_loot_reward_series3_empal_surecon_center_medical_table				20			EmPal SuRecon Center Medical Table
item_tcg_loot_reward_series5_xj6_air_speeder				28			Vehicle Deed: XJ-6 Airspeeder
item_tcg_loot_reward_series8_glass_sculpture				20			Glass Helix Sculpture
item_housepack_xeno_couch_01_01				5			
item_housepack_xeno_desk_01_01				5			
item_housepack_xeno_table_01_01				5			
item_housepack_xeno_desk_lamp_01_01				5			
item_housepack_xeno_rug_01_01				5			
item_housepack_xeno_recliner_01_01				5			
item_housepack_painting_rebel_01_01				12			
item_housepack_painting_imperial_01_01				12			
item_holopet_cle004_data_cube_01_01				20			
item_holopet_ins444_data_cube_01_01				20			
item_housepack_emperor_desk_01_01				25			
item_housepack_emperor_chair_01_01				25			
item_housepack_emperor_desk_lamp_01_01				5			
item_resurgence_targaryen_banner_01_01			1000				
object/tangible/veteran_reward/one_year_anniversary/painting_10.iff			125				
object/tangible/veteran_reward/one_year_anniversary/painting_01.iff			125				
object/tangible/veteran_reward/one_year_anniversary/painting_06.iff			125				
object/tangible/veteran_reward/one_year_anniversary/painting_08.iff			125				
object/tangible/veteran_reward/one_year_anniversary/painting_03.iff			125				
item_pgc_monitorscreen			219				
item_pgc_monitorscreen_sm			177				
item_pgc_glass_pane_01			169				
item_pgc_glass_pane_02			169				
item_pgc_jabba_chandelier			184				
item_pgc_jabba_drapes			199				
item_pgc_jabba_drapes_purple			199				
item_pgc_jabba_fancyrug			192				
item_gmf_jabba_fancyrug			192				
item_pgc_jabba_gargoyle			171				
item_pgc_jabba_generator			203				
item_pgc_jabba_table			224				
item_pgc_jabba_tassels			184				
item_pgc_jabba_windchime			176				
item_pgc_fireplace			269				
item_pgc_decal_pgc_s01			204				
item_pgc_decal_pgc_s02			204				
item_pgc_decal_pgc_s03			204				
item_pgc_decal_pgc_s04			204				
item_pgc_decal_pgc_s05			204				
item_pgc_decal_pgc_s06			204				
item_pgc_planet_hologram_corellia			197				
item_pgc_planet_hologram_dantooine			197				
item_pgc_planet_hologram_dathomir			197				
item_pgc_planet_hologram_endor			197				
item_pgc_planet_hologram_lok			197				
item_pgc_planet_hologram_naboo			197				
item_pgc_planet_hologram_rori			197				
item_pgc_planet_hologram_talus			197				
item_pgc_planet_hologram_tatooine			197				
item_pgc_planet_hologram_yavin4			197				
item_pgc_planet_hologram_corellia_02			162				
item_pgc_planet_hologram_dantooine_02			162				
item_pgc_planet_hologram_dathomir_02			162				
item_pgc_planet_hologram_endor_02			162				
item_pgc_planet_hologram_lok_02			162				
item_pgc_planet_hologram_naboo_02			162				
item_pgc_planet_hologram_rori_02			162				
item_pgc_planet_hologram_talus_02			162				
item_pgc_planet_hologram_tatooine_02			162				
item_pgc_planet_hologram_yavin4_02			162				
st_cn_exar_kun_cultists			175				
st_pr_exar_kun_torture_table			175				
st_pr_exar_kun_table			150				
st_pr_exar_kun_brazier			150				
st_pr_exar_kun_column			150				
st_pr_exar_kun_column_broken			125				
st_pr_exar_kun_torch_01			125				
st_pr_exar_kun_torch_02			125				
st_pr_exar_kun_zapper			119				
item_costume_chiss_01			119				
item_costume_exar_kun_cultist		900					
item_costume_kit	25000			16			
