item	cash	token14	limit	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	s	c
weapon_gcw_dh18a_pistol_03_01		2500				
item_schematic_pvp_gcw_saber_1h_gen4		1000				
item_schematic_pvp_gcw_saber_2h_gen4		1000				
item_restuss_schematic_saber_04_01		5000				
weapon_gcw_tc22_rifle_03_01		2500				
weapon_a280c_blaster_rifle		2500				
weapon_gcw_heavy_pulse_cannon_03_01		1000				
weapon_heavy_cr2_04_01		10000				
weapon_gcw_lance_03_01		2500				
weapon_gcw_carbine_charric_03_01		2500				
armor_gcw_rebel_marine_bicep_l		300				
armor_gcw_rebel_marine_bicep_r		300				
armor_gcw_rebel_marine_bracer_l		300				
armor_gcw_rebel_marine_bracer_r		300				
armor_gcw_rebel_marine_helmet		800				
armor_gcw_rebel_marine_chest_plate		800				
armor_gcw_rebel_marine_leggings		500				
armor_gcw_rebel_marine_gloves		500				
armor_gcw_rebel_marine_boots		500				
armor_gcw_rebel_assault_bicep_l		300				
armor_gcw_rebel_assault_bicep_r		300				
armor_gcw_rebel_assault_bracer_l		300				
armor_gcw_rebel_assault_bracer_r		300				
armor_gcw_rebel_assault_helmet		800				
armor_gcw_rebel_assault_chest_plate		800				
armor_gcw_rebel_assault_leggings		500				
item_gcw_rebel_assault_utility_belt		300				
armor_gcw_rebel_assault_gloves		500				
armor_gcw_rebel_assault_boots		500				
armor_gcw_rebel_battle_bicep_l		300				
armor_gcw_rebel_battle_bicep_r		300				
armor_gcw_rebel_battle_bracer_l		300				
armor_gcw_rebel_battle_bracer_r		300				
armor_gcw_rebel_battle_helmet		800				
armor_gcw_rebel_battle_chest_plate		800				
armor_gcw_rebel_battle_leggings		500				
item_gcw_rebel_battle_utility_belt		300				
armor_gcw_rebel_battle_gloves		500				
armor_gcw_rebel_battle_boots		500				
armor_gcw_rebel_specforce_bicep_l		300				
armor_gcw_rebel_specforce_bicep_r		300				
armor_gcw_rebel_specforce_bracer_l		300				
armor_gcw_rebel_specforce_bracer_r		300				
armor_gcw_rebel_specforce_helmet		800				
armor_gcw_rebel_specforce_chest_plate		800				
armor_gcw_rebel_specforce_leggings		500				
item_gcw_rebel_specforce_utility_belt		300				
armor_gcw_rebel_specforce_gloves		500				
armor_gcw_rebel_specforce_boots		500				
item_gcw_rebel_rug_01		500				
item_gcw_weapon_rack_01		500				
item_gcw_weapon_rack_02		500				
item_gcw_rebel_cape_01		2500				
item_gcw_rebel_jacket_01		800				
item_gcw_invasion_tool_resources_01_01		5000				
item_gcw_invasion_tool_resources_01_02		5000				
item_gcw_invasion_tool_resources_01_03		5000				
item_gcw_invasion_tool_resources_01_04		5000				
item_gcw_invasion_tool_resources_01_05		5000				
item_gcw_invasion_tool_resources_01_06		5000				
item_gcw_points_rebel_gcw_10_01_01		1				
item_gcw_points_rebel_gcw_100_01_01		10				
item_gcw_points_rebel_gcw_1000_01_01		100				
prop_gcw_reb_glowstick_l		500				
prop_gcw_reb_glowstick_r		500				
item_gcw_invasion_binoculars		1000				
item_gcw_mini_turret_consumable		250				
item_schematic_prop_ribbon_01_01		100				
item_schematic_prop_ribbon_01_02		100				
item_schematic_prop_ribbon_01_03		100				
item_schematic_prop_ribbon_01_04		100				
item_schematic_prop_ribbon_01_05		100				
item_schematic_prop_ribbon_01_06		100				
item_gcw_atxt_familiar		5000				
item_schematic_armor_marine_backpack_01_01		4000				
item_schematic_hat_rebel_trooper_01_01		1500				
item_schematic_hat_rebel_spec_ops_01_01		2000				
