item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_necklace_set_hero_01_01		2	2	2			0		"See library.utils for the int value of the classes. 0 is ""all"" but will only show if there are no items for the opener's class."
item_bracelet_r_set_hero_01_01		2	2	2			0		"So in the case of this table only traders will see the ""all"" items."
item_bracelet_l_set_hero_01_01		2	2	2			0		token0 is Axvia Minn
item_ring_set_hero_01_01			2	2	2		0		token1 is Tusken
item_band_set_hero_01_01		2			2	2	0		token2 is IG88
item_heroic_axkva_min_painting_01_01		1					0		token3 is ISD
item_heroic_tusken_painting_01_01			1				0		token4 is Exar Kun
item_heroic_ig88_painting_01_01				1			0		
item_heroic_exar_kun_painting_01_01						1	0		
item_necklace_set_commando_dps_01_01		4	1	1			1		commando
item_bracelet_r_set_commando_dps_01_01		1	4	1			1		commando
item_bracelet_l_set_commando_dps_01_01		1	1	4			1		commando
item_ring_set_commando_dps_01_01			1	1	4		1		commando
item_band_set_commando_dps_01_01		1			1	4	1		commando
item_necklace_set_commando_utility_a_01_01		4	1	1			1		commando
item_bracelet_r_set_commando_utility_a_01_01		1	4	1			1		commando
item_bracelet_l_set_commando_utility_a_01_01		1	1	4			1		commando
item_ring_set_commando_utility_a_01_01		1		1	4		1		commando
item_band_set_commando_utility_a_01_01		1			1	4	1		commando
item_necklace_set_commando_utility_b_01_01		4	1	1			1		commando
item_bracelet_r_set_commando_utility_b_01_01		1	4	1			1		commando
item_bracelet_l_set_commando_utility_b_01_01		1	1	4			1		commando
item_ring_set_commando_utility_b_01_01		1	1		4		1		commando
item_band_set_commando_utility_b_01_01			1		1	4	1		commando
item_necklace_set_smuggler_dps_01_01		4	1	1			2		smuggler
item_bracelet_r_set_smuggler_dps_01_01		1	4	1			2		smuggler
item_bracelet_l_set_smuggler_dps_01_01		1	1	4			2		smuggler
item_ring_set_smuggler_dps_01_01			1	1	4		2		smuggler
item_band_set_smuggler_dps_01_01		1			1	4	2		smuggler
item_necklace_set_smuggler_utility_a_01_01		4	1	1			2		smuggler
item_bracelet_r_set_smuggler_utility_a_01_01		1	4	1			2		smuggler
item_bracelet_l_set_smuggler_utility_a_01_01		1	1	4			2		smuggler
item_ring_set_smuggler_utility_a_01_01		1		1	4		2		smuggler
item_band_set_smuggler_utility_a_01_01		1			1	4	2		smuggler
item_necklace_set_smuggler_utility_b_01_01		4	1	1			2		smuggler
item_bracelet_r_set_smuggler_utility_b_01_01		1	4	1			2		smuggler
item_bracelet_l_set_smuggler_utility_b_01_01		1	1	4			2		smuggler
item_ring_set_smuggler_utility_b_01_01		1	1		4		2		smuggler
item_band_set_smuggler_utility_b_01_01			1		1	4	2		smuggler
item_necklace_set_medic_dps_01_01		4	1	1			3		medic
item_bracelet_r_set_medic_dps_01_01		1	4	1			3		medic
item_bracelet_l_set_medic_dps_01_01		1	1	4			3		medic
item_ring_set_medic_dps_01_01			1	1	4		3		medic
item_band_set_medic_dps_01_01		1			1	4	3		medic
item_necklace_set_medic_utility_a_01_01		4	1	1			3		medic
item_bracelet_r_set_medic_utility_a_01_01		1	4	1			3		medic
item_bracelet_l_set_medic_utility_a_01_01		1	1	4			3		medic
item_ring_set_medic_utility_a_01_01		1		1	4		3		medic
item_band_set_medic_utility_a_01_01		1			1	4	3		medic
item_necklace_set_medic_utility_b_01_01		4	1	1			3		medic
item_bracelet_r_set_medic_utility_b_01_01		1	4	1			3		medic
item_bracelet_l_set_medic_utility_b_01_01		1	1	4			3		medic
item_ring_set_medic_utility_b_01_01		1	1		4		3		medic
item_band_set_medic_utility_b_01_01			1		1	4	3		medic
item_necklace_set_officer_dps_01_01		4	1	1			4		officer
item_bracelet_r_set_officer_dps_01_01		1	4	1			4		officer
item_bracelet_l_set_officer_dps_01_01		1	1	4			4		officer
item_ring_set_officer_dps_01_01			1	1	4		4		officer
item_band_set_officer_dps_01_01		1			1	4	4		officer
item_necklace_set_officer_utility_a_01_01		4	1	1			4		officer
item_bracelet_r_set_officer_utility_a_01_01		1	4	1			4		officer
item_bracelet_l_set_officer_utility_a_01_01		1	1	4			4		officer
item_ring_set_officer_utility_a_01_01		1		1	4		4		officer
item_band_set_officer_utility_a_01_01		1			1	4	4		officer
item_necklace_set_officer_utility_b_01_01		4	1	1			4		officer
item_bracelet_r_set_officer_utility_b_01_01		1	4	1			4		officer
item_bracelet_l_set_officer_utility_b_01_01		1	1	4			4		officer
item_ring_set_officer_utility_b_01_01		1	1		4		4		officer
item_band_set_officer_utility_b_01_01			1		1	4	4		officer
item_necklace_set_spy_dps_01_01		4	1	1			5		spy
item_bracelet_r_set_spy_dps_01_01		1	4	1			5		spy
item_bracelet_l_set_spy_dps_01_01		1	1	4			5		spy
item_ring_set_spy_dps_01_01			1	1	4		5		spy
item_band_set_spy_dps_01_01		1			1	4	5		spy
item_necklace_set_spy_utility_a_01_01		4	1	1			5		spy
item_bracelet_r_set_spy_utility_a_01_01		1	4	1			5		spy
item_bracelet_l_set_spy_utility_a_01_01		1	1	4			5		spy
item_ring_set_spy_utility_a_01_01		1		1	4		5		spy
item_band_set_spy_utility_a_01_01		1			1	4	5		spy
item_necklace_set_spy_utility_b_01_01		4	1	1			5		spy
item_bracelet_r_set_spy_utility_b_01_01		1	4	1			5		spy
item_bracelet_l_set_spy_utility_b_01_01		1	1	4			5		spy
item_ring_set_spy_utility_b_01_01		1	1		4		5		spy
item_band_set_spy_utility_b_01_01			1		1	4	5		spy
item_necklace_set_bh_dps_01_01		4	1	1			6		bounty_hunter
item_bracelet_r_set_bh_dps_01_01		1	4	1			6		bounty_hunter
item_bracelet_l_set_bh_dps_01_01		1	1	4			6		bounty_hunter
item_ring_set_bh_dps_01_01			1	1	4		6		bounty_hunter
item_band_set_bh_dps_01_01		1			1	4	6		bounty_hunter
item_necklace_set_bh_utility_a_01_01		4	1	1			6		bounty_hunter
item_bracelet_r_set_bh_utility_a_01_01		1	4	1			6		bounty_hunter
item_bracelet_l_set_bh_utility_a_01_01		1	1	4			6		bounty_hunter
item_ring_set_bh_utility_a_01_01		1		1	4		6		bounty_hunter
item_band_set_bh_utility_a_01_01		1			1	4	6		bounty_hunter
item_necklace_set_bh_utility_b_01_01		4	1	1			6		bounty_hunter
item_bracelet_r_set_bh_utility_b_01_01		1	4	1			6		bounty_hunter
item_bracelet_l_set_bh_utility_b_01_01		1	1	4			6		bounty_hunter
item_ring_set_bh_utility_b_01_01		1	1		4		6		bounty_hunter
item_band_set_bh_utility_b_01_01			1		1	4	6		bounty_hunter
item_necklace_set_jedi_dps_01_01		4	1	1			7		force_sensitive
item_bracelet_r_set_jedi_dps_01_01		1	4	1			7		force_sensitive
item_bracelet_l_set_jedi_dps_01_01		1	1	4			7		force_sensitive
item_ring_set_jedi_dps_01_01			1	1	4		7		force_sensitive
item_band_set_jedi_dps_01_01		1			1	4	7		force_sensitive
item_necklace_set_jedi_utility_a_01_01		4	1	1			7		force_sensitive
item_bracelet_r_set_jedi_utility_a_01_01		1	4	1			7		force_sensitive
item_bracelet_l_set_jedi_utility_a_01_01		1	1	4			7		force_sensitive
item_ring_set_jedi_utility_a_01_01		1		1	4		7		force_sensitive
item_band_set_jedi_utility_a_01_01		1			1	4	7		force_sensitive
item_necklace_set_jedi_utility_b_01_01		4	1	1			7		force_sensitive
item_bracelet_r_set_jedi_utility_b_01_01		1	4	1			7		force_sensitive
item_bracelet_l_set_jedi_utility_b_01_01		1	1	4			7		force_sensitive
item_ring_set_jedi_utility_b_01_01		1	1		4		7		force_sensitive
item_band_set_jedi_utility_b_01_01			1		1	4	7		force_sensitive
item_player_house_deed_jabbas_sail_barge		5	5	5	5	5	0		
item_bracelet_l_set_trader_01_01		2	2	2			8		trader
item_bracelet_r_set_trader_01_01		2	2	2			8		trader
item_necklace_set_trader_01_01		2	2			2	8		trader
item_band_set_trader_01_01		2		2	2		8		trader
item_ring_set_trader_01_01			2	2	2		8		trader
item_bracelet_l_set_ent_01_01			2	2	2		9		entertainer
item_bracelet_r_set_ent_01_01		2		2	2		9		entertainer
item_necklace_set_ent_01_01		2	2			2	9		entertainer
item_band_set_ent_01_01		2	2	2			9		entertainer
