item	cash	token21	class	script	note
s[none]	i[0]	i[0]	i[0]	s	c
item_lifeday_wrapped_present_2020_01		80			class 11 is actually Rebel and class 10 is actually Imperial.
item_lifeday_wrapped_present_2020_02		80			
item_schematic_kashyyyk_bar_counter		120			
item_schematic_kashyyyk_bar_table		60			
item_schematic_kashyyyk_bar_shelves		80			
item_event_lifeday_monkey_cage		75			
item_event_lifeday_bandolier		75			
item_event_lifeday_holo_table		50			This vendor table is for the IMPERIAL lifeday vendor.
item_event_lifeday_family_painting		50			Which means that everything on here is paid for using
item_event_lifeday_bantha_surprise_recipe		50			Imperial lifeday tokens and cannot be purchased by Rebels
item_event_lifeday_proton_chair		50			unless also sold by the Rebel lifeday vendor.
item_event_lifeday_aquarium		25			
item_event_lifeday_decorated_tree		25			
item_event_lifeday_tree		25			
item_event_lifeday_present_pile		25			
item_schematic_lifeday_present_pile		50			
item_event_lifeday_gcw_rebel_disk		50	11		
item_lifeday_09_wookiee_cookie_decorative		10			
item_lifeday_09_hoth_chocolate_decorative		10			
item_lifeday_09_jacket_01		75			
item_lifeday_gift_04_13		65			
item_lifeday_ornament_2010		35			
item_lifeday_09_ornament		35			
item_lifeday_gift_04_08		50			
item_lifeday_painting_2010_01		50			
item_lifeday_painting_2010_02		50			
item_lifeday_painting_2010_03		50			
item_lifeday_painting_2010_04		50			
item_lifeday_09_fireplace_01		60			
item_lifeday_09_fireplace_02		50			
item_lifeday_09_lamp_01		40			
item_lifeday_09_lamp_02		30			
item_lifeday_gift_04_09		35			
item_lifeday_gift_04_10		30			
item_lifeday_gift_04_11		30			
item_lifeday_09_painting		50			
item_lifeday_gift_04_12		75			
item_lifeday_costume_lifeday_monkeylizard		15			
item_costume_kit_holiday		2			
