item	token7	limit	note
s	i	i[0]	c
object/tangible/loot/mustafar/cube_loot/cube_loot_1g.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1f.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1e.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1c.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1l.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1k.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1v.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1x.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1q.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1a.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1r.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1b.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1o.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1w.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1h.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1i.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1s.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1p.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1d.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1y.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1u.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1j.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1t.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1m.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_1n.iff	1		faintly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2i.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2p.iff	7		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2a.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2h.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2s.iff	7		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2e.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2b.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2r.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2t.iff	7		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2g.iff	7		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2q.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2c.iff	6		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2n.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2d.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2m.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2j.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2k.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2f.iff	5		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2o.iff	6		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_2l.iff	6		dimly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3b.iff	20		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3l.iff	33		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3g.iff	34		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3i.iff	34		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3m.iff	50		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3a.iff	23		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3n.iff	25		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3c.iff	42		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3f.iff	32		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3k.iff	34		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3r.iff	23		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3p.iff	32		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3j.iff	42		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3h.iff	32		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3d.iff	42		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3o.iff	23		warmly glowing
object/tangible/loot/mustafar/cube_loot/cube_loot_3e.iff	42		warmly glowing
item_tcg_loot_reward_series7_deed_vip_bunker	250		Deed VIP Bunker
item_schematic_ex_blaster_pistol_barrel	70		Exceptional Blaster Pistol Barrel Schematic
item_schematic_ex_blaster_rifle_barrel	70		Exceptional Blaster Rifle Barrel Schematic
item_schematic_ex_gas_cartridge	70		Exceptional Gas Cartridge Schematic
item_schematic_ex_projectile_pistol_barrel	70		Exceptional Projectile Blaster Pistol Barrel Schematic
item_schematic_ex_reinforcement_core	70		Exceptional Weapon Reinforcement Core Schematic
item_tcg_loot_reward_series6_build02_hk47_mustafar_diorama	75		HK47: Mustafar Diorama
item_schematic_vehicle_lava_res_kit	50		Lava Resistance Kit Schematic
item_tcg_loot_reward_series5_mustafar_diorama	30		Mustafar Diorama
item_tow_ring_architect_04_01	100		Relic Ring of Architecture
item_tow_ring_artisan_04_01	100		Relic Ring of Artisan
item_tow_ring_beast_master_04_01	100		Relic Ring of Beast Mastery
item_tow_ring_domestics_04_01	75		Relic Ring of Domestics
item_tow_ring_engineering_04_01	125		Relic Ring of Engineering
item_tow_ring_inspiration_04_01	100		Relic Ring of Inspired Entertainment
item_tow_ring_munitions_04_01	125		Relic Ring of Munitions
item_tow_schematic_psg_05_01	150		Schematic: Old Republic Personal Shield
item_tow_foreman_burst_run_04_01	111		Sprint Enhancement Stim
item_restuss_schematic_saber_04_01	25		Technical Readout of a One-Handed Lightsaber Hilt
item_limited_use_schematic_commando_ice_gun_04_01	50		CCV-Cryo Projector
weapon_carbine_advanced_sfor_04_01	25		Weapon: Advanced SFOR Carbine
weapon_pistol_old_republic_ion_relic_04_01	25		Weapon: Old Republic Ion Pistol
item_tcg_loot_reward_series3_mustafar_travel_advertisement	30		Travel Advertisement: Mustafar
