item	token30	limit	note
s	i	i[0]	c
armor_mandalorian_imperial_chest_plate_04_01	1000		Mandalorian Mark III Chestplate
armor_mandalorian_imperial_helmet_04_01	800		Mandalorian Mark III Helmet
armor_mandalorian_imperial_leggings_04_01	800		Mandalorian Mark III Leggings
armor_mandalorian_imperial_bicep_l_04_01	500		Mandalorian Mark III Left Bicep
armor_mandalorian_imperial_bicep_r_04_01	500		Mandalorian Mark III Right Bicep
armor_mandalorian_imperial_bracer_l_04_01	500		Mandalorian Mark III Left Bracer
armor_mandalorian_imperial_bracer_r_04_01	500		Mandalorian Mark III Right Bracer
armor_mandalorian_imperial_belt_04_01	300		Mandalorian Mark III Belt
armor_mandalorian_imperial_boots_04_01	300		Mandalorian Mark III Boots
armor_mandalorian_imperial_gloves_04_01	300		Mandalorian Mark III Gloves
armor_mandalorian_imperial_white_chest_plate_04_01	1000		White Mandalorian Mark III Chestplate
armor_mandalorian_imperial_white_helmet_04_01	800		White Mandalorian Mark III Helmet
armor_mandalorian_imperial_white_leggings_04_01	800		White Mandalorian Mark III Leggings
armor_mandalorian_imperial_white_bicep_l_04_01	500		White Mandalorian Mark III Left Bicep
armor_mandalorian_imperial_white_bicep_r_04_01	500		White Mandalorian Mark III Right Bicep
armor_mandalorian_imperial_white_bracer_l_04_01	500		White Mandalorian Mark III Left Bracer
armor_mandalorian_imperial_white_bracer_r_04_01	500		White Mandalorian Mark III Right Bracer
armor_mandalorian_imperial_white_belt_04_01	300		White Mandalorian Mark III Belt
armor_mandalorian_imperial_white_boots_04_01	300		White Mandalorian Mark III Boots
armor_mandalorian_imperial_white_gloves_04_01	300		White Mandalorian Mark III Gloves
armor_mandalorian_black_imperial_chest_plate_04_01	1000		Black Mandalorian Mark III Chestplate
armor_mandalorian_black_imperial_helmet_04_01	800		Black Mandalorian Mark III Helmet
armor_mandalorian_black_imperial_leggings_04_01	800		Black Mandalorian Mark III Leggings
armor_mandalorian_black_imperial_bicep_l_04_01	500		Black Mandalorian Mark III Left Bicep
armor_mandalorian_black_imperial_bicep_r_04_01	500		Black Mandalorian Mark III Right Bicep
armor_mandalorian_black_imperial_bracer_l_04_01	500		Black Mandalorian Mark III Left Bracer
armor_mandalorian_black_imperial_bracer_r_04_01	500		Black Mandalorian Mark III Right Bracer
armor_mandalorian_black_imperial_belt_04_01	300		Black Mandalorian Mark III Belt
armor_mandalorian_black_imperial_boots_04_01	300		Black Mandalorian Mark III Boots
armor_mandalorian_black_imperial_gloves_04_01	300		Black Mandalorian Mark III Gloves
armor_mandalorian_red_imperial_chest_plate_04_01	1000		Red Mandalorian Mark III Chestplate
armor_mandalorian_red_imperial_helmet_04_01	800		Red Mandalorian Mark III Helmet
armor_mandalorian_red_imperial_leggings_04_01	800		Red Mandalorian Mark III Leggings
armor_mandalorian_red_imperial_bicep_l_04_01	500		Red Mandalorian Mark III Left Bicep
armor_mandalorian_red_imperial_bicep_r_04_01	500		Red Mandalorian Mark III Right Bicep
armor_mandalorian_red_imperial_bracer_l_04_01	500		Red Mandalorian Mark III Left Bracer
armor_mandalorian_red_imperial_bracer_r_04_01	500		Red Mandalorian Mark III Right Bracer
armor_mandalorian_red_imperial_belt_04_01	300		Red Mandalorian Mark III Belt
armor_mandalorian_red_imperial_boots_04_01	300		Red Mandalorian Mark III Boots
armor_mandalorian_red_imperial_gloves_04_01	300		Red Mandalorian Mark III Gloves
armor_mandalorian_blue_imperial_chest_plate_04_01	1000		Blue Mandalorian Mark III Chestplate
armor_mandalorian_blue_imperial_helmet_04_01	800		Blue Mandalorian Mark III Helmet
armor_mandalorian_blue_imperial_leggings_04_01	800		Blue Mandalorian Mark III Leggings
armor_mandalorian_blue_imperial_bicep_l_04_01	500		Blue Mandalorian Mark III Left Bicep
armor_mandalorian_blue_imperial_bicep_r_04_01	500		Blue Mandalorian Mark III Right Bicep
armor_mandalorian_blue_imperial_bracer_l_04_01	500		Blue Mandalorian Mark III Left Bracer
armor_mandalorian_blue_imperial_bracer_r_04_01	500		Blue Mandalorian Mark III Right Bracer
armor_mandalorian_blue_imperial_belt_04_01	300		Blue Mandalorian Mark III Belt
armor_mandalorian_blue_imperial_boots_04_01	300		Blue Mandalorian Mark III Boots
armor_mandalorian_blue_imperial_gloves_04_01	300		Blue Mandalorian Mark III Gloves
weapon_mandalorian_lightsaber_04_01	500		Jinsu Razor Lightsaber
weapon_mandalorian_sword_04_01	500		Templar Sword
weapon_mandalorian_pistol_04_01		M-XII Pistol
weapon_mandalorian_carbine_04_01	500		M-XIII Carbine
weapon_mandalorian_rifle_04_01	500		M-XIV Rifle
weapon_mandalorian_heavy_04_01	500		M-XX Heavy Rifle
weapon_imperial_sword_04_01	500		Nova Edge Sword
weapon_imperial_pistol_04_01	500		Dead Bolt Pistol
weapon_imperial_rifle_04_01	500		Reaper Sniper Rifle
weapon_imperial_heavy_04_01	500		Frag Storm Heavy Shotgun
