item	token17	limit	note
s	i	i[0]	c
item_restuss_schematic_saber_04_01	150		Jinsu Razor Lightsaber Schematic
weapon_mandalorian_sword_04_01	500		Templar Sword
weapon_mandalorian_pistol_04_01	500		M-XII Pistol
weapon_mandalorian_carbine_04_01	500		M-XIII Carbine
weapon_mandalorian_rifle_04_01	500		M-XIV Rifle
weapon_mandalorian_heavy_04_01	500		M-XX Heavy Rifle
weapon_rebel_sword_04_01	500		Nova Edge Sword
weapon_rebel_pistol_04_01	500		Dead Bolt Pistol
weapon_rebel_rifle_04_01	500		Reaper Sniper Rifle
weapon_rebel_heavy_04_01	500		Frag Storm Heavy Shotgun
weapon_heavy_cr2_04_01	15000		CR-2 Blast Cannon
