item	cash	token36	limit	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	s	c
item_treasure_map_bracelet_r_absorb_04_01		1				Adventurer Hiker & Hunter Counter-Toxin Wristband Prototype IV (Right)
item_treasure_map_bracelet_r_resist_04_01		1				Adventurer Hiker & Hunter Toxin Resistant Wristband Prototype IV (Right)
item_treasure_map_bracelet_r_bh_04_02		2				BlasTech WrisTek - Wrist Assault Booster Zulu (Right)
item_treasure_map_bracelet_r_entertainer_inspiration_pulse_04_01		2				Bracelet of Inspired Status (Right)
item_treasure_map_bracelet_r_sp_04_01		1				Corellidyne Personal Insurgency Wrist Implant -Black- (Right)
item_treasure_map_bracelet_r_bh_04_01		5				Courier Wrist Communications Scanner SCNv4 (Right)
item_treasure_map_bracelet_r_counter_insurgent_04_01		2				Idellian Arrays PLFS-4000 Insurgent Scanner Wrist Module (Right)
item_treasure_map_bracelet_r_fs_04_02		5				Jedi Knight Meditation Bracelet (Right)
item_treasure_map_bracelet_r_fs_04_01		1				Jedi Knight's Wristguard (Right)
item_treasure_map_bracelet_r_sm_04_01		1				Merr-Sonn Targeter Ranging Wrist Assist v4 (Right)
item_treasure_map_bracelet_r_me_04_01		5				Saldalith Manufacturing Veridicator 200a (Right)
item_treasure_map_bracelet_r_of_04_01		1				SoroSuub Personnel Comlink Wrist-P4 (Right)
item_treasure_map_bracelet_r_co_04_01		1				Traxes BioElectronic Targeting Assist Wrist Implant PTI-IV (Right)
