item	cash	token36	limit	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	s	c
object/tangible/loot/collectible/collectible_parts/blue_rug_adhesive.iff		1				Blue Rug Adhesive
object/tangible/loot/collectible/collectible_parts/blue_rug_dye.iff		1				Blue Rug Dye
object/tangible/loot/collectible/collectible_parts/blue_rug_patches.iff		1				Blue Rug Patches
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_01.iff		1				Blue Rug Thread - First Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_02.iff		1				Blue Rug Thread - Second Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_03.iff		1				Blue Rug Thread - Third Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_04.iff		1				Blue Rug Thread - Fourth Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_05.iff		1				Blue Rug Thread - Fifth Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_06.iff		1				Blue Rug Thread - Sixth Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_07.iff		1				Blue Rug Thread - Seventh Section
object/tangible/loot/collectible/collectible_parts/light_table_adhesive.iff		1				Glass Top Table Adhesive
object/tangible/loot/collectible/collectible_parts/light_table_glasstop_01.iff		1				Glass Top Table - Large Glass Top
object/tangible/loot/collectible/collectible_parts/light_table_glasstop_02.iff		1				Glass Top Table - Small Glass Top
object/tangible/loot/collectible/collectible_parts/light_table_structure_01.iff		1				Glass Top Table Base - First Section
object/tangible/loot/collectible/collectible_parts/light_table_structure_02.iff		1				Glass Top Table Base - Second Section
object/tangible/loot/collectible/collectible_parts/light_table_structure_03.iff		1				Glass Top Table Base - Third Section
object/tangible/loot/collectible/collectible_parts/light_table_structure_04.iff		1				Glass Top Table Base - Fourth Section
object/tangible/loot/collectible/collectible_parts/light_table_structure_05.iff		1				Glass Top Table Base - Fifth Section
object/tangible/loot/collectible/collectible_parts/light_table_structure_06.iff		1				Glass Top Table Base - Sixth Section
object/tangible/loot/collectible/collectible_parts/light_table_structure_07.iff		1				Glass Top Table Base - Seventh Section
object/tangible/loot/collectible/collectible_parts/gong_adhesive.iff		1				Gong Adhesive
object/tangible/loot/collectible/collectible_parts/gong_skin_back.iff		1				Gong Skin - Back Section
object/tangible/loot/collectible/collectible_parts/gong_skin_front.iff		1				Gong Skin - Front Section
object/tangible/loot/collectible/collectible_parts/gong_structure_01.iff		1				Gong Structure - First Section
object/tangible/loot/collectible/collectible_parts/gong_structure_02.iff		1				Gong Structure - Second Section
object/tangible/loot/collectible/collectible_parts/gong_structure_03.iff		1				Gong Structure - Third Section
object/tangible/loot/collectible/collectible_parts/gong_structure_04.iff		1				Gong Structure - Fourth Section
object/tangible/loot/collectible/collectible_parts/gong_structure_05.iff		1				Gong Structure - Fifth Section
object/tangible/loot/collectible/collectible_parts/gong_structure_06.iff		1				Gong Structure - Sixth Section
object/tangible/loot/collectible/collectible_parts/gong_structure_07.iff		1				Gong Structure - Seventh Section
object/tangible/loot/collectible/collectible_parts/sculpture_structure_01.iff		1				Nabooian Sculpture Base - First Section
object/tangible/loot/collectible/collectible_parts/sculpture_structure_02.iff		1				Nabooian Sculpture Base - Second Section
object/tangible/loot/collectible/collectible_parts/sculpture_structure_03.iff		1				Nabooian Sculpture Base - Third Section
object/tangible/loot/collectible/collectible_parts/sculpture_structure_04.iff		1				Nabooian Sculpture Base - Fourth Section
object/tangible/loot/collectible/collectible_parts/sculpture_structure_05.iff		1				Nabooian Sculpture Base - Fifth Section
object/tangible/loot/collectible/collectible_parts/sculpture_structure_06.iff		1				Nabooian Sculpture Base - Sixth Section
object/tangible/loot/collectible/collectible_parts/sculpture_structure_07.iff		1				Nabooian Sculpture Base - Seventh Section
object/tangible/loot/collectible/collectible_parts/sculpture_adhesive.iff		1				Nabooian Sculpture Adhesive
object/tangible/loot/collectible/collectible_parts/sculpture_goldinlay_01.iff		1				Nabooian Sculpture Gold Plating - First Coating
object/tangible/loot/collectible/collectible_parts/sculpture_goldinlay_02.iff		1				Nabooian Sculpture Gold Plating - Second Coating
object/tangible/loot/collectible/collectible_parts/orange_rug_adhesive.iff		1				Orange Rug Adhesive
object/tangible/loot/collectible/collectible_parts/orange_rug_dye.iff		1				Orange Rug Dye
object/tangible/loot/collectible/collectible_parts/orange_rug_patches.iff		1				Orange Rug Patches
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_01.iff		1				Orange Rug Thread - First Section
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_02.iff		1				Orange Rug Thread - Second Section
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_03.iff		1				Orange Rug Thread - Third Section
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_04.iff		1				Orange Rug Thread - Fourth Section
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_05.iff		1				Orange Rug Thread - Fifth Section
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_06.iff		1				Orange Rug Thread - Sixth Section
object/tangible/loot/collectible/collectible_parts/orange_rug_thread_07.iff		1				Orange Rug Thread - Seventh Section
