item	cash	token36	limit	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	s	c
col_treasure_hunter_dolovite_mask_02_01		1				A Dolovite Mask
col_treasure_hunter_hendanyn_mask_02_01		1				A Hendanyn Death Mask
col_lightsaber_1h_01_03		1				A Jedi Relic
col_treasure_hunter_mandalore_mask_02_01		1				A Mandalorian Mask
col_treasure_hunter_sith_mask_02_01		1				A Sith Mask
col_treasure_hunter_oval_gem_02_01		1				A rare red oval gem
col_treasure_hunter_trilliant_gem_02_01		1				A rare red trilliant gem
col_treasure_hunter_oval_gem_02_02		1				A rare green oval gem
col_treasure_hunter_trilliant_gem_02_02		1				A rare green trilliant gem
col_treasure_hunter_oval_gem_02_03		1				A rare blue oval gem
col_treasure_hunter_trilliant_gem_02_03		1				A rare blue trilliant gem
col_treasure_hunter_oval_gem_02_04		1				A rare yellow oval gem
col_treasure_hunter_trilliant_gem_02_04		1				A rare yellow triliant gem
item_treasure_map_bracelet_r_absorb_04_01		1				Adventurer Hiker & Hunter Counter-Toxin Wristband Prototype IV (Right)
item_treasure_map_bracelet_r_resist_04_01		1				Adventurer Hiker & Hunter Toxin Resistant Wristband Prototype IV (Right)
object/tangible/loot/loot_schematic/agitator_motor_schematic.iff		1				Agitator Motor
col_treasure_hunter_antique_melee_02_01		1				An antique melee weapon
col_treasure_hunter_antique_pistol_02_01		1				An antique pistol
col_treasure_hunter_antique_carbine_02_01		1				An antique carbine
col_treasure_hunter_antique_rifle_02_01		1				An antique rifle
item_krayt_pearl_04_19		20				Ancient Krayt Dragon Pearl
item_krayt_pearl_04_20		25				Ancient Krayt Dragon Pearl
object/tangible/loot/loot_schematic/assorted_fruit_schematic.iff		1				Assorted Fruit Draft Schematic
object/tangible/furniture/terminal/terminal_serving_droid.iff		5				Astromech Serving Droid Terminal
item_treasure_map_bar_piece_straight_s2_schematic		2				Bar Counter Large Schematic
item_treasure_map_bar_counter_s1_schematic		2				Bar Counter Schematic
item_treasure_map_bar_piece_curve_s1_schematic		2				Bar Corner Piece 1 Schematic
item_treasure_map_bar_piece_curve_s2_schematic		2				Bar Corner Piece 2 Schematic
item_treasure_map_bar_piece_straight_s1_schematic		2				Bar Corner Piece 3 Schematic
item_treasure_map_bracelet_r_bh_04_02		2				BlasTech WrisTek - Wrist Assault Booster Zulu (Right)
object/tangible/loot/loot_schematic/couch_blue_schematic.iff		1				Blue Couch Draft Schematic
object/tangible/loot/collectible/collectible_parts/blue_rug_adhesive.iff		1				Blue Rug Adhesive
object/tangible/loot/collectible/collectible_parts/blue_rug_dye.iff		1				Blue Rug Dye
object/tangible/loot/collectible/collectible_parts/blue_rug_patches.iff		1				Blue Rug Patches
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_01.iff		1				Blue Rug Thread - First Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_02.iff		1				Blue Rug Thread - Second Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_03.iff		1				Blue Rug Thread - Third Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_04.iff		1				Blue Rug Thread - Fourth Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_05.iff		1				Blue Rug Thread - Fifth Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_06.iff		1				Blue Rug Thread - Sixth Section
object/tangible/loot/collectible/collectible_parts/blue_rug_thread_07.iff		1				Blue Rug Thread - Seventh Section
object/tangible/wearables/armor/bounty_hunter/armor_bounty_hunter_belt.iff		1				Bounty Hunter Belt
object/tangible/wearables/armor/bounty_hunter/armor_bounty_hunter_bicep_l.iff		1				Bounty Hunter Bicep Armor
object/tangible/wearables/armor/bounty_hunter/armor_bounty_hunter_bicep_r.iff		1				Bounty Hunter Bicep Armor
object/tangible/wearables/armor/bounty_hunter/armor_bounty_hunter_bracer_l.iff		1				Bounty Hunter Bracer Armor
object/tangible/wearables/armor/bounty_hunter/armor_bounty_hunter_bracer_r.iff		1				Bounty Hunter Bracer Armor
