template	stringArg	min	max
s	s	f	f
object/tangible/component/chemistry/biologic_effect_controller.iff	amount 	6	10
	power	10	45
	charges	5	10
object/tangible/component/chemistry/biologic_effect_controller_advanced.iff	amount 	6	10
	power	35	85
	charges	5	10
object/tangible/component/chemistry/dispersal_mechanism.iff	amount 	6	10
	power	50	200
	charges	30	55
object/tangible/component/chemistry/dispersal_mechanism_advanced.iff	amount 	6	10
	power	100	325
	charges	25	75
object/tangible/component/chemistry/infection_amplifier.iff	amount 	6	10
	power	50	200
	charges	30	55
object/tangible/component/chemistry/infection_amplifier_advanced.iff	amount 	6	10
	power	100	325
	charges	25	75
object/tangible/component/chemistry/liquid_delivery_suspension.iff	amount 	6	10
	power	10	45
	charges	5	10
object/tangible/component/chemistry/liquid_delivery_suspension_advanced.iff	amount 	6	10
	power	35	85
	charges	5	10
object/tangible/component/chemistry/release_mechanism_duration.iff	amount 	6	10
	power	10	45
	charges	5	10
object/tangible/component/chemistry/release_mechanism_duration_advanced.iff	amount 	6	10
	power	35	85
	charges	5	10
object/tangible/component/chemistry/resilience_compound.iff	amount 	6	10
	power	50	200
	charges	30	55
object/tangible/component/chemistry/resilience_compound_advanced.iff	amount 	6	10
	power	100	325
	charges	25	75
object/tangible/component/chemistry/solid_delivery_shell.iff	amount 	6	10
	power	50	200
	charges	30	55
object/tangible/component/chemistry/solid_delivery_shell_advanced.iff	amount 	6	10
	power	100	325
	charges	25	75
object/tangible/component/weapon/blaster_pistol_barrel.iff	amount 	6	10
object/tangible/component/weapon/blaster_pistol_barrel_advanced.iff	amount 	6	10
object/tangible/component/weapon/blaster_power_handler.iff	amount 	6	10
object/tangible/component/weapon/blaster_power_handler_advanced.iff	amount 	6	10
object/tangible/component/weapon/blaster_rifle_barrel.iff	amount 	6	10
object/tangible/component/weapon/blaster_rifle_barrel_advanced.iff	amount 	6	10
object/tangible/component/weapon/projectile_feed_mechanism.iff	amount 	6	10
object/tangible/component/weapon/projectile_feed_mechanism_advanced.iff	amount 	6	10
object/tangible/component/weapon/projectile_pistol_barrel.iff	amount 	6	10
object/tangible/component/weapon/projectile_pistol_barrel_advanced.iff	amount 	6	10
object/tangible/component/weapon/projectile_rifle_barrel.iff	amount 	6	10
object/tangible/component/weapon/projectile_rifle_barrel_advanced.iff	amount 	6	10
object/tangible/component/weapon/scope_weapon.iff	amount 	6	10
object/tangible/component/weapon/scope_weapon_advanced.iff	amount 	6	10
object/tangible/component/weapon/stock.iff	amount 	6	10
object/tangible/component/weapon/stock_advanced.iff	amount 	6	10
object/tangible/component/weapon/sword_core.iff	amount 	6	10
object/tangible/component/weapon/sword_core_advanced.iff	amount 	6	10
object/tangible/component/weapon/vibro_unit.iff	amount 	6	10
object/tangible/component/weapon/vibro_unit_advanced.iff	amount 	6	10
object/tangible/component/armor/armor_core_battle_basic.iff	amount 	2	6
	armorLevel	0	0
	armorCategory	1	1
	general_protection	0.5	0.9
	condition	0.3	0.4
object/tangible/component/armor/armor_core_battle_standard.iff	amount 	4	8
	armorLevel	1	1
	armorCategory	1	1
	general_protection	0.5	0.9
	condition	0.3	0.4
object/tangible/component/armor/armor_core_battle_advanced.iff	amount 	6	8
	armorLevel	2	2
	armorCategory	1	1
	general_protection	0.5	0.9
	condition	0.5	0.8
object/tangible/component/armor/armor_core_assault_basic.iff	amount 	2	6
	armorLevel	0	0
	armorCategory	2	2
	general_protection	0.5	0.9
	condition	0.3	0.4
