tusken	ig88	axkva_gorvo	axkva_min	sd_boss	sd_sub_1	sd_sub_2	sd_sub_3	exar_open_hand	exar_minder	exar_caretaker	exar_hate_fist	exar_exar_kun	echo_base_soldier_junk	echo_base_wampa_junk	echo_base_tauntaun_junk	echo_base_wampa_berserker	echo_base_generic_soldier	echo_base_rebel_soldier	echo_base_imperial_soldier	echo_base_sharpshooter
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
item_heroic_schematic_elite_gaffi_stick_01_01	item_heroic_ig_88_head_01_01	item_cs_dna_rancor	item_heroic_schematic_nightsister_hat_01_01	item_heroic_schematic_backpack_01_07	item_schematic_polearm_heroic_sd_01_01	item_schematic_polearm_heroic_sd_01_01	item_schematic_polearm_heroic_sd_01_01	item_tcg_loot_reward_series5_signal_unit	item_tcg_loot_reward_series5_signal_unit	schematic_exar_kun_torture_table_02_01	schematic_exar_kun_table_02_01	item_heroic_exar_kun_fresco_02_01	heroic_echo_at_at_junk_02_01	heroic_echo_wampa_junk_02_01	heroic_echo_tauntaun_junk_02_01	st_cn_hoth_wampa	st_pr_hoth_cable_box_01	st_cn_hoth_rebel_snow_trooper	st_cn_hoth_imperial_snowtrooper	weapon_a280_blaster_rifle
item_heroic_schematic_elite_tusken_rifle_01_01	item_heroic_ig_88_head_01_01		item_heroic_schematic_saber_03_01	item_heroic_schematic_backpack_01_07	item_schematic_carbine_heroic_sd_01_01	item_schematic_carbine_heroic_sd_01_01	item_schematic_carbine_heroic_sd_01_01	item_tcg_loot_reward_series3_gargans_hands_of_seduction	item_tcg_loot_reward_series4_falleens_fist_02_01	schematic_exar_kun_2h_sword_massassi_02_01	schematic_exar_kun_brazier_02_01	schematic_exar_kun_carbine_massassi_02_01	heroic_echo_at_at_junk_02_02	heroic_echo_wampa_junk_02_02	heroic_echo_tauntaun_junk_02_02		st_pr_hoth_cable_box_02			weapon_eweb_blaster_rifle
item_heroic_schematic_backpack_krayt_skull_01_01	item_tcg_loot_reward_series5_signal_unit		object/tangible/loot/quest/lance_nightsister_schematic.iff	item_heroic_schematic_backpack_01_08	item_schematic_pistol_heroic_sd_01_01	item_schematic_pistol_heroic_sd_01_01	item_schematic_pistol_heroic_sd_01_01			item_tcg_loot_reward_series5_signal_unit	item_tcg_loot_reward_series5_signal_unit	item_tcg_loot_reward_series5_signal_unit	heroic_echo_at_at_junk_02_03	heroic_echo_wampa_junk_02_03	heroic_echo_tauntaun_junk_02_03		st_pr_hoth_cable_box_03			st_cn_hoth_imperial_atst
item_heroic_schematic_backpack_krayt_skull_01_01	item_tcg_loot_reward_series1_morgukai_shadow_scroll		item_schematic_polearm_heroic_sd_01_01	item_heroic_schematic_backpack_01_08						item_tcg_loot_reward_series1_black_corset_dress	item_tcg_loot_reward_series3_guise_of_the_master	item_tcg_loot_reward_series1_sith_speeder	heroic_echo_at_at_junk_02_04	heroic_echo_wampa_junk_02_04	heroic_echo_tauntaun_junk_02_04		st_pr_hoth_crate_01			st_cn_hoth_imperial_atst
item_tcg_loot_reward_series5_signal_unit			item_tcg_loot_reward_series5_signal_unit	item_heroic_schematic_backpack_01_09									heroic_echo_at_at_junk_02_05				st_pr_hoth_crate_02			
item_tcg_loot_reward_series2_sanyassan_skull			item_tcg_loot_reward_series5_nightsister_backpack	item_heroic_schematic_backpack_01_09									heroic_echo_snow_speeder_junk_02_01				st_pr_hoth_crate_03			
				item_tcg_loot_reward_series5_signal_unit									heroic_echo_snow_speeder_junk_02_02				st_pr_hoth_icicle_01			
				item_tcg_loot_reward_series5_greeter_senate_guard									heroic_echo_snow_speeder_junk_02_03				st_pr_hoth_icicle_02			
													heroic_echo_snow_speeder_junk_02_04				st_pr_hoth_icicle_03			
													heroic_echo_snow_speeder_junk_02_05				st_pr_hoth_light_standing			
																	st_pr_hoth_scaffold			
																	st_pr_hoth_terminal_01			
																	st_pr_hoth_toolbox			
																	st_pr_hoth_radio			
																	st_pr_hoth_snow_trooper_gun			
