strItemType	comments
s	s
object/tangible/painting/bestine_quest_painting.iff	Rare Painting
object/tangible/veteran_reward/one_year_anniversary/painting_10.iff	Dusk in Kachirho
object/tangible/painting/painting_zabrak_f.iff	Mercenaries' Despair
object/tangible/painting/painting_zabrak_m.iff	Mercenaries' Lament
item_painting_rodian_f_ad_01	Advertisement (Rodian)
object/tangible/painting/painting_rodian_m.iff	Fighter (Painting)
object/tangible/painting/painting_schematic_weapon_s03.iff	Poster Block Turret Schematic
object/tangible/painting/painting_trandoshan_m.iff	Warrior's Honor (Painting)
object/tangible/painting/painting_trandoshan_m_01.iff	Fighter's Courage (Painting)
object/tangible/painting/painting_bothan_m.iff	Bothan Buff (Painting)
object/tangible/painting/painting_bothan_f.iff	Bothan Beauty (Painting)
object/tangible/veteran_reward/one_year_anniversary/painting_01.iff	Cast Wing in Flight
item_painting_corl_02	Corellian Seaside (Painting)
item_painting_droid_bright	Droid in Contrast
object/tangible/veteran_reward/one_year_anniversary/painting_09.iff	Emperor's Eyes (TIE Sentinel)
object/tangible/painting/painting_rodian_f.iff	Feared (Painting)
object/tangible/veteran_reward/one_year_anniversary/painting_05.iff	Fighter Study
object/tangible/veteran_reward/one_year_anniversary/painting_06.iff	Hutt Greed
object/tangible/veteran_reward/one_year_anniversary/painting_08.iff	Imperial Oppression
item_lifeday_painting_03_01_01	Life Day Painting (Proud Wookiee)
item_lifeday_painting_01_01_01	Life Day Painting (Red Robed Wookiee)
item_tow_decor_painting_02_04	Living Canals
object/tangible/painting/painting_bw_stormtrooper.iff	No Division
object/tangible/painting/painting_food_baking_s02.iff	Poster of Food Preparation
object/tangible/painting/painting_schematic_weapon.iff	Poster of a Turret Schematic (Painting)
object/tangible/painting/painting_schematic_transport_ship.iff	Poster of a Ship Schematic (Painting)
item_lifeday_gift_04_02	Pilgrimage
object/tangible/veteran_reward/one_year_anniversary/painting_03.iff	Tatooine Dune Speeder (Painting)
item_lifeday_gift_04_04	Triumph
object/tangible/painting/painting_vader_victory.iff	Victory
item_housepack_painting_rebel_01_01	The War Phoenix
item_housepack_painting_imperial_01_01	The War Phoenix
