strItemType	comments
s	s
object/tangible/painting/painting_rodian_f_ad_01.iff	Advertisement
object/tangible/painting/painting_bothan_f.iff	Bothan Beauty
object/tangible/painting/painting_bothan_m.iff	Bothan Buff
item_painting_corl_02	Corellian Seaside
object/tangible/painting/painting_rodian_f.iff	Feared
object/tangible/painting/painting_rodian_m.iff	Fighter
object/tangible/painting/painting_trandoshan_m_01.iff	Fighter's Courage
item_tow_decor_painting_02_04	Living Canals
object/tangible/painting/painting_zabrak_f.iff	Mercenaries' Despair
object/tangible/painting/painting_zabrak_m.iff	Mercenaries' Lament
object/tangible/painting/painting_bw_stormtrooper.iff	No Division
object/tangible/painting/painting_food_baking_s02.iff	Poster of Food Preparation
object/tangible/painting/painting_schematic_transport_ship.iff	Poster of a Ship Schematic
object/tangible/painting/painting_schematic_weapon_s03.iff	Poster Block Turret Schematic
object/tangible/painting/painting_schematic_weapon.iff	Poster of Turret Schematic
object/tangible/painting/bestine_quest_painting.iff	Rare Painting
item_tow_decor_sith_relic_02_01	Sith Relic
object/tangible/painting/painting_vader_victory.iff	Victory
object/tangible/painting/painting_trandoshan_m.iff	Warrior's Honor
