strItemType	comments
s	s
item_schematic_spice_yarrock	Yarrock
item_schematic_spice_pyrepenol	Pyrepenol
item_schematic_spice_giggledust	Giggledust
item_schematic_spice_scramjet	Scramjet
item_schematic_spice_gunjack	Gunjack
item_schematic_spice_h4b	Sedative h4b
item_schematic_spice_droid_lube	Droid Lube
item_schematic_spice_shadowpaw	Shadowpaw
item_schematic_spice_muon_gold	Muon Gold
item_schematic_spice_sweetblossom	Sweetblossom
item_schematic_spice_crash_n_burn	Crash n burn
item_schematic_spice_thruster_head	Thruster_Head
item_schematic_spice_grey_gabaki	Grey Gabaki
item_schematic_spice_neutron_pixey	Neutron_Pixey
item_schematic_spice_booster_blue	Booster Blue
item_roadmap_spice_booster_blue_01_02	Booster Blue Schematic
item_roadmap_spice_crash_n_burn_01_02	Crash_n_burn Schematic
item_roadmap_spice_droid_lube_01_02	Droid Lube Schematic
item_roadmap_spice_giggledust_01_02	Giggledust Schematic
item_roadmap_spice_grey_gabaki_01_02	Grey_Gabaki Schematic
item_roadmap_spice_gunjack_01_02	Gunjack Schematic
item_roadmap_spice_muon_gold_01_02	Muon Gold Schematic
item_roadmap_spice_neutron_pixey_01_02	Neutron Pixey Schematic
item_roadmap_spice_pyrepenol_01_02	Pyrepenol Schematic
item_roadmap_spice_scramjet_01_02	Scramjet Schematic
item_roadmap_spice_sedative_h4b_01_02	Sedative h4b Schematic
item_roadmap_spice_shadowpaw_01_02	Shadowpaw Schematic
item_roadmap_spice_sweetblossom_01_02	Sweetblossom Schematic
item_roadmap_spice_thruster_head_01_02	Thruster Head Schematic
item_roadmap_spice_yarrock_01_02	Yarrock Schematic
