tusken_normal	tusken_elite	tusken_isolationist
s	s	s
cash_loot/npc_cash_loot_31_40	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	crafting_loot/saber_crystals_color	crafting_loot/saber_crystals_color
cash_loot/npc_cash_loot_31_40	crafting_loot/saber_crystals_low:power_crystal	crafting_loot/saber_crystals_low:power_crystal
cash_loot/npc_cash_loot_31_40	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_clothing_standard	wearables/dynamic_clothing_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_standard	wearables/dynamic_armor_standard
cash_loot/npc_cash_loot_31_40	crafting_loot/saber_crystals_color	crafting_loot/saber_crystals_color
cash_loot/npc_cash_loot_31_40	crafting_loot/saber_crystals_low:power_crystal	crafting_loot/saber_crystals_low:power_crystal
cash_loot/npc_cash_loot_31_40	wearables/dynamic_armor_boss	wearables/dynamic_armor_boss
cash_loot/npc_cash_loot_31_40	wearables/dynamic_clothing_boss	wearables/dynamic_clothing_boss
consumables/simple_consumables_31_40	wearables/dynamic_armor_jedi_standard	wearables/dynamic_armor_jedi_standard
consumables/simple_consumables_31_40	specific_npc/tusken:tusken_high	specific_npc/tusken:tusken_isolationist
wearables/dynamic_clothing_standard	specific_npc/tusken:tusken_high	specific_npc/tusken:tusken_isolationist
wearables/dynamic_clothing_standard	specific_npc/tusken:tusken_high	specific_npc/tusken:tusken_isolationist
weapons/dynamic_simple	specific_npc/tusken:tusken_high	specific_npc/tusken:tusken_isolationist
collectible/npc_collectible:common	specific_npc/tusken:tusken_high	specific_npc/tusken:tusken_isolationist
collectible/npc_collectible:common		
generic/generic:painting		
generic/generic:other		
crafting_loot/loot_schematics		
wearables/dynamic_armor_standard		
wearables/dynamic_armor_jedi_standard		
crafting_loot/simple_kit		
crafting_loot/simple_kit		
crafting_loot/simple_kit		
specific_npc/tusken:tusken_low		
specific_npc/tusken:tusken_low		
specific_npc/tusken:tusken_low		
specific_npc/tusken:tusken_low		
specific_npc/tusken:tusken_low		
