intLevel	intMinReward	intMaxReward	intGCWPoints
i	i	i	i
0	100	500	5
1	250	1500	10
2	500	2500	25
3	1000	5000	50
4	2500	10000	75
5	5000	20000	100
6	5000	20000	100
7	5000	20000	100
8	5000	20000	100
9	5000	20000	100
10	10000	25000	250
11	10000	25000	250
12	10000	25000	250
13	10000	25000	250
14	10000	25000	250
15	10000	25000	250
16	10000	25000	250
17	10000	25000	250
18	10000	25000	250
19	10000	25000	250
20	20000	50000	500
21	20000	50000	500
22	20000	50000	500
23	20000	50000	500
24	20000	50000	500
25	20000	50000	500
26	20000	50000	500
27	20000	50000	500
28	20000	50000	500
29	20000	50000	500
30	25000	100000	1000
31	25000	100000	1000
32	25000	100000	1000
33	25000	100000	1000
34	25000	100000	1000
35	25000	100000	1000
36	25000	100000	1000
37	25000	100000	1000
38	25000	100000	1000
39	25000	100000	1000
40	50000	250000	1500
41	50000	250000	1500
42	50000	250000	1500
43	50000	250000	1500
44	50000	250000	1500
45	50000	250000	1500
46	50000	250000	1500
47	50000	250000	1500
48	50000	250000	1500
49	50000	250000	1500
50	50000	250000	1500
51	50000	250000	1500
52	50000	250000	1500
53	50000	250000	1500
54	50000	250000	1500
55	50000	250000	1500
56	50000	250000	1500
57	50000	250000	1500
58	50000	250000	1500
59	50000	250000	1500
60	100000	500000	3000
61	100000	500000	3000
62	100000	500000	3000
63	100000	500000	3000
64	100000	500000	3000
65	100000	500000	3000
66	100000	500000	3000
67	100000	500000	3000
68	100000	500000	3000
69	100000	500000	3000
70	100000	500000	3000
71	250000	750000	4000
72	250000	750000	4000
73	250000	750000	4000
74	250000	750000	4000
75	250000	750000	4000
76	250000	750000	4000
77	250000	750000	4000
78	250000	750000	4000
79	250000	750000	4000
80	500000	1500000	4500
81	500000	1500000	4500
82	500000	1500000	4500
83	500000	1500000	4500
84	500000	1500000	4500
85	500000	1500000	4500
86	500000	1500000	4500
87	500000	1500000	4500
88	500000	1500000	4500
89	500000	1500000	4500
90	1000000	3000000	5000
91	1000000	3000000	5000
92	1000000	3000000	5000
93	1000000	3000000	5000
94	1000000	3000000	5000
95	1000000	3000000	5000
96	1000000	3000000	5000
97	1000000	3000000	5000
98	1000000	3000000	5000
99	1000000	3000000	5000
100	1000000	3000000	5000
