strTemplate	intMinDifficulty	intMaxDifficulty	strDetailTemplate	strIdFileName	intStringId	intSize	intNumToSpawn	strTemplateToSpawn	intMinReward	intMaxReward	strBuildingType	strLairType	strObjective	strObjectiveTarget	fltKillPercentage	strTargetType
s	i	i	s	s	i	i	i	s	i	I	s	s	s	s	f	s
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/objective_power_transformer.iff			45			150000	300000		rori_gundark_hooligan_camp_neutral_medium_theater		object/tangible/lair/base/objective_power_transformer.iff		npc
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/objective_power_transformer.iff			45			150000	300000		rori_gundark_hooligan_camp_neutral_medium_theater		object/tangible/lair/base/objective_power_transformer.iff		npc
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_mound_small_evil_fire_green.iff			40			150000	300000	none	rori_capper_spineflap_flight_neutral_none		object/tangible/lair/base/poi_all_lair_mound_small_evil_fire_green.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_mound_small_evil_fire_green.iff			40			150000	300000	none	rori_capper_spineflap_pod_neutral_small		object/tangible/lair/base/poi_all_lair_mound_small_evil_fire_green.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_rocks_large_evil_fire_red.iff			40			150000	300000	none	rori_squall_pack_neutral_none		object/tangible/lair/base/poi_all_lair_rocks_large_evil_fire_red.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_large_evil_fire_green.iff			40			150000	300000	none	rori_squall_warren_neutral_medium		object/tangible/lair/base/poi_all_lair_nest_large_evil_fire_green.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_garbage_small_fog_red.iff			15			150000	300000	none	rori_hermit_spider_neutral_none		object/tangible/lair/base/poi_all_lair_garbage_small_fog_red.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_rock_shelter_large_fog_gray.iff			15			150000	300000	none	rori_ikopi_herd_neutral_none		object/tangible/lair/base/poi_all_lair_rock_shelter_large_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_insecthill_large_evil_fire_green.iff			25			150000	300000	none	rori_ikopi_lair_neutral_medium		object/tangible/lair/base/poi_all_lair_insecthill_large_evil_fire_green.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/objective_power_transformer.iff			45			150000	300000		rori_brigade_scout_camp_neutral_medium_theater		object/tangible/lair/base/objective_power_transformer.iff		npc
