old_version_quest_name	new_version_quest_name
s	s
jabba_ree_yees	jabba_ree_yees_v2
jabba_bib_fortuna	jabba_bib_fortuna_v2
jabba_the_hutt	jabba_the_hutt_v2
jabba_barada	jabba_barada_v2
ep3_carl_surrogate_hunter	ep3_carl_surrogate_hunter_v2
tatooine_eisley_gototrehla	tatooine_eisley_gototrehla_v2
newbie_scout	newbie_scout_v2
c_sink_imp	c_sink_imp_v2
tatooine_eisley_digital_infection	tatooine_eisley_digital_infection_v2
tatooine_eisley_bone_gnasher	tatooine_eisley_digital_infection_v2
tatooine_eisley_hidden_agenda	tatooine_eisley_digital_infection_v2
tatooine_eisley_answers	tatooine_eisley_drensbounty_v2
tatooine_eisley_drensbounty	tatooine_eisley_drensbounty_v2
tatooine_eisley_faceevil	tatooine_eisley_drensbounty_v2
legacy_button_jawatracks_pt3	legacy_button_jawatracks_pt3_v2
loveday_disillusion_pet_lover	loveday_disillusion_pet_lover_v2
loveday_disillusion_love_note	loveday_disillusion_love_note_v2
loveday_disillusion_mr_hate	loveday_disillusion_mr_hate_v2
