BUFF_BUILDER_AFFECTS	AFFECT
s	s
crafting_assembly	armor_assembly
crafting_assembly	advanced_assembly
crafting_assembly	booster_assembly
crafting_assembly	chassis_assembly
crafting_assembly	clothing_assembly
crafting_assembly	cybernetic_assembly
crafting_assembly	droid_assembly
crafting_assembly	engine_assembly
crafting_assembly	food_assembly
crafting_assembly	general_assembly
crafting_assembly	instrument_assembly
crafting_assembly	jedi_saber_assembly
crafting_assembly	power_systems
crafting_assembly	prop_assembly
crafting_assembly	shields_assembly
crafting_assembly	structure_assembly
crafting_assembly	weapon_assembly
crafting_assembly	weapon_systems
crafting_experimentation	armor_experimentation
crafting_experimentation	advanced_experimentation
crafting_experimentation	booster_experimentation
crafting_experimentation	chassis_experimentation
crafting_experimentation	clothing_experimentation
crafting_experimentation	cybernetic_experimentation
crafting_experimentation	droid_experimentation
crafting_experimentation	engine_experimentation
crafting_experimentation	food_experimentation
crafting_experimentation	general_experimentation
crafting_experimentation	instrument_experimentation
crafting_experimentation	jedi_saber_experimentation
crafting_experimentation	power_systems_experimentation
crafting_experimentation	prop_experimentation
crafting_experimentation	shields_experimentation
crafting_experimentation	structure_experimentation
crafting_experimentation	weapon_experimentation
crafting_experimentation	weapon_systems_experimentation
