area	x1	z1	x2	z2	useClipRect	clipRectX1	clipRectZ1	clipRectX2	clipRectZ2	envFlags	envFlagsExclude	useOrigin	originX	originZ	compositeX1	compositeZ1	compositeX2	compositeZ2	compositeName	isolated	allowMap	internal	allowRadarTerrain	eventRequired	requiredLoadLevel
s	f	f	f	f	b[0]	f[0]	f[0]	f[0]	f[0]	i[0xff]	i[0x00]	b[0]	f[0]	f[0]	f[0]	f[0]	f[0]	f[0]	s	b[0]	b[1]	b[1]	b[1]	s	s
dxun_1_1	-8192	-8192	-6144	-6144																					
dxun_1_2	-8192	-6144	-6144	-4096																					
dxun_1_3	-8192	-4096	-6144	-2048																					
dxun_1_4	-8192	-2048	-6144	0																					
dxun_1_5	-8192	0	-6144	2048																					
dxun_1_6	-8192	2048	-6144	4096																					
dxun_1_7	-8192	4096	-6144	6144																					
dxun_1_8	-8192	6144	-6144	8192																					
dxun_2_1	-6144	-8192	-4096	-6144																					
dxun_2_2	-6144	-6144	-4096	-4096																					
dxun_2_3	-6144	-4096	-4096	-2048																					
dxun_2_4	-6144	-2048	-4096	0																					
dxun_2_5	-6144	0	-4096	2048																					
dxun_2_6	-6144	2048	-4096	4096																					
dxun_2_7	-6144	4096	-4096	6144																					
dxun_2_8	-6144	6144	-4096	8192																					
dxun_3_1	-4096	-8192	-2048	-6144																					
dxun_3_2	-4096	-6144	-2048	-4096																					
dxun_3_3	-4096	-4096	-2048	-2048																					
dxun_3_4	-4096	-2048	-2048	0																					
dxun_3_5	-4096	0	-2048	2048																					
dxun_3_6	-4096	2048	-2048	4096																					
dxun_3_7	-4096	4096	-2048	6144																					
dxun_3_8	-4096	6144	-2048	8192																					
dxun_4_1	-2048	-8192	0	-6144																					
dxun_4_2	-2048	-6144	0	-4096																					
dxun_4_3	-2048	-4096	0	-2048																					
dxun_4_4	-2048	-2048	0	0																					
dxun_4_5	-2048	0	0	2048																					
dxun_4_6	-2048	2048	0	4096																					
dxun_4_7	-2048	4096	0	6144																					
dxun_4_8	-2048	6144	0	8192																					
dxun_5_1	0	-8192	2048	-6144																					
dxun_5_2	0	-6144	2048	-4096																					
dxun_5_3	0	-4096	2048	-2048																					
dxun_5_4	0	-2048	2048	0																					
dxun_5_5	0	0	2048	2048																					
dxun_5_6	0	2048	2048	4096																					
dxun_5_7	0	4096	2048	6144																					
dxun_5_8	0	6144	2048	8192																					
dxun_6_1	2048	-8192	4096	-6144																					
dxun_6_2	2048	-6144	4096	-4096																					
dxun_6_3	2048	-4096	4096	-2048																					
dxun_6_4	2048	-2048	4096	0																					
dxun_6_5	2048	0	4096	2048																					
dxun_6_6	2048	2048	4096	4096																					
dxun_6_7	2048	4096	4096	6144																					
dxun_6_8	2048	6144	4096	8192																					
dxun_7_1	4096	-8192	6144	-6144																					
dxun_7_2	4096	-6144	6144	-4096																					
dxun_7_3	4096	-4096	6144	-2048																					
dxun_7_4	4096	-2048	6144	0																					
dxun_7_5	4096	0	6144	2048																					
dxun_7_6	4096	2048	6144	4096																					
dxun_7_7	4096	4096	6144	6144																					
dxun_7_8	4096	6144	6144	8192																					
dxun_8_1	6144	-8192	8192	-6144																					
dxun_8_2	6144	-6144	8192	-4096																					
dxun_8_3	6144	-4096	8192	-2048																					
dxun_8_4	6144	-2048	8192	0																					
dxun_8_5	6144	0	8192	2048																					
dxun_8_6	6144	2048	8192	4096																					
dxun_8_7	6144	4096	8192	6144																					
dxun_8_8	6144	6144	8192	8192																					
