ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TARGET_SERVER_TEMPLATE	SOCIAL_GROUP	REQUIRED_REGION	LOOT_ITEM_NAME	LOOT_ITEMS_REQUIRED	LOOT_DROP_PERCENT	REWARD_CREDITS	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SERVER_TEMPLATE	NUM_REQUIRED	ITEM_NAME	DROP_PERCENT	RETRIEVE_MENU_TEXT	SPACE_QUEST_NAME	SPACE_QUEST_TYPE	IGNORE_SPLIT	TIMER_AMOUNT	SIGNAL_NAME	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	EXPERIENCE_TYPE	EXPERIENCE_AMOUNT	FACTION_NAME	FACTION_AMOUNT	BANK_CREDITS	LOOT_NAME	LOOT_COUNT	ITEM	COUNT	WEAPON	COUNT_WEAPON	SPEED	DAMAGE	EFFICIENCY	ELEMENTAL_VALUE	ARMOR	COUNT_ARMOR	QUALITY	REWARD_BADGE
s	s	s	b	s	s	b	s	s	s	b	s	s	s	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	s	s	s	s	i	i	i	s	s	s	i	s	i	s	s	s	b	i	s	b	s	s	s	s	f	f	f	s	i	s	i	i	s	i	s	i	s	i	S	S	S	S	s	i	i	s
quest.task.ground.nothing			0			0	1			0							1		1			0	tatooine	0	0	0				0	0	0	0																																																
quest.task.ground.go_to_location	@quest/ground/c_syren5_rebel:task01_journal_entry_title	@quest/ground/c_syren5_rebel:task01_journal_entry_description	1			0	2			1							1		1			1	talus	-5183	19	280			@quest/ground/c_syren5_rebel:task01_waypoint_name	0	0	0	0		10																																														
quest.task.ground.destroy_multi_and_loot	@quest/ground/c_syren5_rebel:task02_journal_entry_title	@quest/ground/c_syren5_rebel:task02_journal_entry_description	1			0	3			1							1		1			1	talus	-5183	19	280			@quest/ground/c_syren5_rebel:task02_waypoint_name	0	0	0	0				imperial		Communications Array Passkey	1	5	0																																							
quest.task.ground.comm_player	@quest/ground/c_syren5_rebel:task03_journal_entry_title	@quest/ground/c_syren5_rebel:task03_journal_entry_description	1			0	4			0							1		1			0	tatooine	0	0	0				0	0	0	0										@quest/ground/c_syren5_rebel:task03_comm_message_text	object/mobile/dressed_dak_ralter.iff																																					
quest.task.ground.retrieve_item	@quest/ground/c_syren5_rebel:task04_journal_entry_title	@quest/ground/c_syren5_rebel:task04_journal_entry_description	1			0	5			1							1		1			1	talus	-5183	19	280			@quest/ground/c_syren5_rebel:task04_waypoint_name	0	0	0	0												object/tangible/terminal/terminal_syren5_comm_array.iff	1	@quest/ground/c_syren5_rebel:task04_item_name	100	@quest/ground/c_syren5_rebel:task04_retrieve_menu_text				0																												
quest.task.ground.retrieve_item	@quest/ground/c_syren5_rebel:task05_journal_entry_title	@quest/ground/c_syren5_rebel:task05_journal_entry_description	1			0	6			1							1		1			1	talus	-5183	19	280			@quest/ground/c_syren5_rebel:task05_waypoint_name	0	0	0	0												object/tangible/terminal/terminal_syren5_shield_generator_rebel.iff	1	@quest/ground/c_syren5_rebel:task05_item_name	100	@quest/ground/c_syren5_rebel:task05_retrieve_menu_text				0																												
quest.task.ground.grant_space_quest	@quest/ground/c_syren5_rebel:task06_journal_entry_title	@quest/ground/c_syren5_rebel:task06_journal_entry_description	1			0	7	11		1							1		1			1	naboo	1431	5	2770			@quest/ground/c_syren5_rebel:task06_waypoint_name	0	0	0	0																	c_syren5_reb_space	assassinate	0	0																												
quest.task.ground.go_to_location	@quest/ground/c_syren5_rebel:task08_journal_entry_title	@quest/ground/c_syren5_rebel:task08_journal_entry_description	1			0	8			1							1		1			1	talus	430	6	-3013			@quest/ground/c_syren5_rebel:task06_waypoint_name	0	0	0	0		10																		0		0			0		0	0	0																			
quest.task.ground.wait_for_signal	@quest/ground/c_syren5_rebel:task08_journal_entry_title	@quest/ground/c_syren5_rebel:task08_journal_entry_description	1			0	9		talkToDak	1							1		1			1	talus	430	6	-3013			@quest/ground/c_syren5_rebel:task06_waypoint_name	0	0	0	0																				0	completedRebSyren	0			0		0	0	0																			
